,Unnamed: 0,type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,keyword
41,80,article,2047608,Giuseppe  Maggiore and Andrea  Torsello and Flavio  Sartoretto and Agostino  Cortesi,,,,Engaging High School Students in Computer Science via Challenging Applications,43--48,,6.0,"computer science, education, games",10.1145/2047594.2047608,,,,,,,2011.0,,Proceedings of the 2011 Conference on Information Technology Education,SIGITE '11,,978-1-4503-1017-8,"West Point, New York, USA",ACM,"New York, NY, USA",computer science education theory
42,81,article,1836047,Amir  Zeid,,,,Using Creative Methods for Teaching Professional Ethics for Computer Science Students,18:1--18:5,18.0,5.0,computer science education,10.1145/1836029.1836047,,,,,,,2009.0,,Proceedings of the First Kuwait Conference on e-Services and e-Systems,eConf '09,,978-1-60558-797-4,Kuwait,ACM,"New York, NY, USA",computer science education theory
43,86,article,979976,Mats  Daniels and Anders  Berglund and Arnold  Pears and Sally  Fincher,,,,Five Myths of Assessment,57--61,,5.0,"Computer Science Education, assessment",,,,,,,,2004.0,,Proceedings of the Sixth Australasian Conference on Computing Education - Volume 30,ACE '04,,,"Dunedin, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computer science education theory
50,106,article,1227434,Russel  Bruhn and Steven F. Jennings,,,,A Multidisciplinary Bioinformatics Minor,348--352,,5.0,"bioinformatics, computational science, curriculum issues",10.1145/1227310.1227434,,,,,,,2007.0,,Proceedings of the 38th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '07,,1-59593-361-1,"Covington, Kentucky, USA",ACM,"New York, NY, USA",computer science education theory
53,111,article,359417,Richard H. Austing and Bruce H. Barnes and Gerald L. Engel,,,,A Survey of the Literature in Computer Science Education Since Curriculum '68,13--21,,9.0,"computer science, curricula, education",10.1145/359367.359417,Commun. ACM,Jan. 1977,20,1,,January,1977.0,0001-0782,,,,,,ACM,"New York, NY, USA",computer science education theory
54,112,article,1463688,Michael  Zyda and Victor  Lacour and Chris  Swain,,,,Operating a Computer Science Game Degree Program,71--75,,5.0,computer science game education,10.1145/1463673.1463688,,,,,,,2008.0,,Proceedings of the 3rd International Conference on Game Development in Computer Science Education,GDCSE '08,,978-1-60558-057-9,"Miami, Florida",ACM,"New York, NY, USA",computer science education theory
55,116,article,503799,D. E. Stevenson,,,,Frontiers for Computer Science in Computational Science,203--210,,8.0,"computational science, education",10.1145/503720.503799,,,,,,,1992.0,,Proceedings of the 30th Annual Southeast Regional Conference,ACM-SE 30,,0-89791-506-2,"Raleigh, North Carolina",ACM,"New York, NY, USA",computer science education theory
59,137,article,1869569,Celina  Gibbs and Yvonne  Coady,,,,Understanding Abstraction: A Means of Leveling the Playing Field in CS1?,169--174,,6.0,computer science education,10.1145/1869542.1869569,,,,,,,2010.0,,Proceedings of the ACM International Conference Companion on Object Oriented Programming Systems Languages and Applications Companion,OOPSLA '10,,978-1-4503-0240-1,"Reno/Tahoe, Nevada, USA",ACM,"New York, NY, USA",computer science education theory
63,148,article,2189851,Joanna  Goode and Gail  Chapman and Jane  Margolis,,,,Beyond Curriculum: The Exploring Computer Science Program,47--53,,7.0,"computer science education, exploring computer science, pedagogy",10.1145/2189835.2189851,ACM Inroads,June 2012,3,2,,June,2012.0,2153-2184,,,,,,ACM,"New York, NY, USA",computer science education theory
64,149,article,1822118,Emma  Enstr&#246;m and Viggo  Kann,,,,Computer Lab Work on Theory,93--97,,5.0,"computer lab work, learning theoretical computer science, reductions",10.1145/1822090.1822118,,,,,,,2010.0,,Proceedings of the Fifteenth Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '10,,978-1-60558-820-9,"Bilkent, Ankara, Turkey",ACM,"New York, NY, USA",computer science education theory
65,152,article,2677218,Olaf A. Hall-Holt and Kevin R. Sanft,,,,Statistics-infused Introduction to Computer Science,138--143,,6.0,"computer science education, cs1, data science, statistics",10.1145/2676723.2677218,,,,,,,2015.0,,Proceedings of the 46th ACM Technical Symposium on Computer Science Education,SIGCSE '15,,978-1-4503-2966-8,"Kansas City, Missouri, USA",ACM,"New York, NY, USA",computer science education theory
68,159,article,1089734,Caitlin  Kelleher and Randy  Pausch,,,,Lowering the Barriers to Programming: A Taxonomy of Programming Environments and Languages for Novice Programmers,83--137,,55.0,"Human-computer interaction, computer Science education, learning, literacy, problem solving",10.1145/1089733.1089734,ACM Comput. Surv.,June 2005,37,2,,June,2005.0,0360-0300,,,,,,ACM,"New York, NY, USA",computer science education theory
74,171,article,1822107,Tamar  Benaya and Maya  Herman and Daphna  Shahak and Ela  Zur,,,,Individual and Group Seminars and Workshops in the Computer Science Curriculum,53--57,,5.0,"computer science, education, seminars, workshops",10.1145/1822090.1822107,,,,,,,2010.0,,Proceedings of the Fifteenth Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '10,,978-1-60558-820-9,"Bilkent, Ankara, Turkey",ACM,"New York, NY, USA",computer science education theory
76,174,article,2742595,Katrina  Falkner and Claudia  Szabo and Dee  Michell and Anna  Szorenyi and Shantel  Thyer,,,,Gender Gap in Academia: Perceptions of Female Computer Science Academics,111--116,,6.0,"computer science education, gender diversity",10.1145/2729094.2742595,,,,,,,2015.0,,Proceedings of the 2015 ACM Conference on Innovation and Technology in Computer Science Education,ITiCSE '15,,978-1-4503-3440-2,"Vilnius, Lithuania",ACM,"New York, NY, USA",computer science education theory
81,180,article,1593221,Irene  Polycarpou,,,,Induction As a Tool for Conceptual Coherence in Computer Science,440--445,,6.0,"computer science education, proofs by induction, structural induction, undergraduate computer science curricula",10.1145/1593105.1593221,,,,,,,2008.0,,Proceedings of the 46th Annual Southeast Regional Conference on XX,ACM-SE 46,,978-1-60558-105-7,"Auburn, Alabama",ACM,"New York, NY, USA",computer science education theory
83,182,article,2898465,Rahmad  Dawood,,,,Embedding HCI in Computer Science Education: A Preliminary Attempt,39--43,,5.0,"Computer Science Education, Developing Countries, HCI Education",10.1145/2898459.2898465,,,,,,,2016.0,,Proceedings of the 2Nd International Conference in HCI and UX Indonesia 2016,CHIuXiD '16,,978-1-4503-4044-1,"Jakarta, Indonesia",ACM,"New York, NY, USA",computer science education theory
84,185,article,2674695,Rebecca  Vivian and Katrina  Falkner and Claudia  Szabo,,,,Can Everybody Learn to Code?: Computer Science Community Perceptions About Learning the Fundamentals of Programming,41--50,,10.0,"computer science education and learning, introductory programming, perceptions, university students",10.1145/2674683.2674695,,,,,,,2014.0,,Proceedings of the 14th Koli Calling International Conference on Computing Education Research,Koli Calling '14,,978-1-4503-3065-7,"Koli, Finland",ACM,"New York, NY, USA",computer science education theory
88,191,article,1384320,Paul  Curzon and Peter W. McOwan,,,,Engaging with Computer Science Through Magic Shows,179--183,,5.0,"computer science education, magic, science public engagement",10.1145/1597849.1384320,SIGCSE Bull.,September 2008,40,3,,June,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science education theory
7,22,article,2462478,Karen  Renaud,,,,Introducing Computing Students to Scientific Experimentation,76--81,,6.0,"computing science, coursework, experimentation",10.1145/2462476.2462478,,,,,,,2013.0,,Proceedings of the 18th ACM Conference on Innovation and Technology in Computer Science Education,ITiCSE '13,,978-1-4503-2078-8,"Canterbury, England, UK",ACM,"New York, NY, USA",computer science education strategies
19,48,article,1862725,Katrina  Falkner and David S. Munro,,,,Easing the Transition: A Collaborative Learning Approach,65--74,,10.0,"CS1, collaborative learning, computer science education, transition",,,,,,,,2009.0,,Proceedings of the Eleventh Australasian Conference on Computing Education - Volume 95,ACE '09,,978-1-920682-76-7,"Wellington, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computer science education strategies
21,52,article,352492,Taras  Vintsiuk,,,,Pattern Computer (Abstract Only),5--14,,10.0,"computer science, pattern computer",10.1145/352491.352492,,,,,,,2000.0,,Proceedings of the Symposium on Contemporary Computing in Ukraine,CCU '00,,1-58113-310-3,"Lviv, Ukraine",ACM,"New York, NY, USA",computer science education strategies
23,54,article,2677296,Samantha  Krieger and Meghan  Allen and Catherine  Rawn,,,,Are Females Disinclined to Tinker in Computer Science?,102--107,,6.0,"computer science education, gender, programming, tinkering",10.1145/2676723.2677296,,,,,,,2015.0,,Proceedings of the 46th ACM Technical Symposium on Computer Science Education,SIGCSE '15,,978-1-4503-2966-8,"Kansas City, Missouri, USA",ACM,"New York, NY, USA",computer science education strategies
25,57,article,2723624,Marcelo  Worsley and Paulo  Blikstein,,,,Leveraging Multimodal Learning Analytics to Differentiate Student Learning Strategies,360--367,,8.0,"computational, constructionist, data mining, learning sciences",10.1145/2723576.2723624,,,,,,,2015.0,,Proceedings of the Fifth International Conference on Learning Analytics And Knowledge,LAK '15,,978-1-4503-3417-4,"Poughkeepsie, New York",ACM,"New York, NY, USA",computer science education strategies
26,58,article,2666637,Marcelo  Worsley and Paulo  Blikstein,,,,Deciphering the Practices and Affordances of Different Reasoning Strategies Through Multimodal Learning Analytics,21--27,,7.0,"computational, constructionist, data mining, learning sciences",10.1145/2666633.2666637,,,,,,,2014.0,,Proceedings of the 2014 ACM Workshop on Multimodal Learning Analytics Workshop and Grand Challenge,MLA '14,,978-1-4503-0488-7,"Istanbul, Turkey",ACM,"New York, NY, USA",computer science education strategies
27,59,article,2677288,Diana  Franklin and Charlotte  Hill and Hilary  Dwyer and Ashley  Iveland and Alexandria  Killian and Danielle  Harlow,,,,Getting Started in Teaching and Researching Computer Science in the Elementary Classroom,552--557,,6.0,"computer science education, curriculum, k-12, outreach",10.1145/2676723.2677288,,,,,,,2015.0,,Proceedings of the 46th ACM Technical Symposium on Computer Science Education,SIGCSE '15,,978-1-4503-2966-8,"Kansas City, Missouri, USA",ACM,"New York, NY, USA",computer science education strategies
49,123,article,1658652,Brian J. Reiser,,,,Why Scaffolding Should Sometimes Make Tasks More Difficult for Learners,255--264,,10.0,"interactive learning environments, scaffolding, science education",,,,,,,,2002.0,,Proceedings of the Conference on Computer Support for Collaborative Learning: Foundations for a CSCL Community,CSCL '02,,,"Boulder, Colorado",International Society of the Learning Sciences,,computer science education strategies
53,128,article,3059048,Keith  Quille and Natalie  Culligan and Susan  Bergin,,,,"Insights on Gender Differences in CS1: A Multi-institutional, Multi-variate Study.",263--268,,6.0,"computer science education, cs1., female, gender, programming, programming self-efficacy",10.1145/3059009.3059048,,,,,,,2017.0,,Proceedings of the 2017 ACM Conference on Innovation and Technology in Computer Science Education,ITiCSE '17,,978-1-4503-4704-4,"Bologna, Italy",ACM,"New York, NY, USA",computer science education strategies
56,144,article,1082435,Peter  Vamplew and Julian  Dermoudy,,,,An Anti-plagiarism Editor for Software Development Courses,83--90,,8.0,"computer science education, plagiarism, programming",,,,,,,,2005.0,,Proceedings of the 7th Australasian Conference on Computing Education - Volume 42,ACE '05,,1-920682-24-4,"Newcastle, New South Wales, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computer science education strategies
58,146,article,2602483,Judith  Gal-Ezer and Chris  Stephenson,,,,A Tale of Two Countries: Successes and Challenges in K-12 Computer Science Education in Israel and the United States,8:1--8:18,8.0,18.0,"Computer science, computer science educators, computer science teachers",10.1145/2602483,Trans. Comput. Educ.,June 2014,14,2,,June,2014.0,1946-6226,,,,,,ACM,"New York, NY, USA",computer science education strategies
62,154,article,2493400,Elena L. Glassman and Ned  Gulley and Robert C. Miller,,,,Toward Facilitating Assistance to Students Attempting Engineering Design Problems,41--46,,6.0,"computer science education, digital design, pattern recognition, problem solving process",10.1145/2493394.2493400,,,,,,,2013.0,,Proceedings of the Ninth Annual International ACM Conference on International Computing Education Research,ICER '13,,978-1-4503-2243-0,"San Diego, San California, USA",ACM,"New York, NY, USA",computer science education strategies
63,155,article,2600631,Vamsi  Paruchuri and Yu  Sun,,,,Strategies and Challenges on Providing Successful Research Experiences for Undergraduates,50--58,,9.0,"REU, assessment, computer science, student mentoring, undergraduate research",,J. Comput. Sci. Coll.,May 2014,29,5,,May,2014.0,1937-4771,,,,,,Consortium for Computing Sciences in Colleges,USA,computer science education strategies
64,156,article,1113882,Tami  Lapidot and Orit  Hazzan,,,,Song Debugging: Merging Content and Pedagogy in Computer Science Education,79--83,,5.0,"computer science education, debugging, music, teacher education",10.1145/1113847.1113882,SIGCSE Bull.,December 2005,37,4,,December,2005.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science education strategies
65,157,article,2445324,Jiangjiang  Liu and Cheng-Hsien  Lin and Phillip  Potter and Ethan Philip Hasson and Zebulun David Barnett and Michael  Singleton,,,,Going Mobile with App Inventor for Android: A One-week Computing Workshop for K-12 Teachers,433--438,,6.0,"computer science education, curriculum, information systems education",10.1145/2445196.2445324,,,,,,,2013.0,,Proceeding of the 44th ACM Technical Symposium on Computer Science Education,SIGCSE '13,,978-1-4503-1868-6,"Denver, Colorado, USA",ACM,"New York, NY, USA",computer science education strategies
68,160,article,1734357,Alexander  Repenning and David  Webb and Andri  Ioannidou,,,,Scalable Game Design and the Development of a Checklist for Getting Computational Thinking into Public Schools,265--269,,5.0,"computational science, computational thinking, game design",10.1145/1734263.1734357,,,,,,,2010.0,,Proceedings of the 41st ACM Technical Symposium on Computer Science Education,SIGCSE '10,,978-1-4503-0006-3,"Milwaukee, Wisconsin, USA",ACM,"New York, NY, USA",computer science education strategies
71,168,article,1067513,Linda  Stern and Selby  Markham and Ria  Hanewald,,,,You Can Lead a Horse to Water: How Students Really Use Pedagogical Software,246--250,,5.0,"algorithm animation, computer science education, evaluation, multimedia, software use",10.1145/1067445.1067513,,,,,,,2005.0,,Proceedings of the 10th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education,ITiCSE '05,,1-59593-024-8,"Caparica, Portugal",ACM,"New York, NY, USA",computer science education strategies
75,179,article,1008025,Orna  Muller and Bruria  Haberman and Haim  Averbuch,,,,(An Almost) Pedagogical Pattern for Pattern-based Problem-solving Instruction,102--106,,5.0,"computer science education, teacher training",10.1145/1026487.1008025,SIGCSE Bull.,September 2004,36,3,,June,2004.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science education strategies
77,184,article,2445286,Khuloud  Ahmad and Paul  Gestwicki,,,,Studio-based Learning and App Inventor for Android in an Introductory CS Course for Non-majors,287--292,,6.0,"AIA, MSLQ, computer science education, introductory computer science, mind map, studio-based learning",10.1145/2445196.2445286,,,,,,,2013.0,,Proceeding of the 44th ACM Technical Symposium on Computer Science Education,SIGCSE '13,,978-1-4503-1868-6,"Denver, Colorado, USA",ACM,"New York, NY, USA",computer science education strategies
78,191,article,3084306,Adelmo Antonio da Silva  Eloy and Amilton Rodrigues Quadros  Martins and Ariane Mileidi  Pazinato and Maria de Fatima S. Polesi  Lukjanenko and Roseli de Deus  Lopes,,,,Programming Literacy: Computational Thinking in Brazilian Public Schools,439--444,,6.0,"computational thinking, computer science education, k-12 education, programming, teacher training",10.1145/3078072.3084306,,,,,,,2017.0,,Proceedings of the 2017 Conference on Interaction Design and Children,IDC '17,,978-1-4503-4921-5,"Stanford, California, USA",ACM,"New York, NY, USA",computer science education strategies
80,194,article,1227473,Ken  Wong and Tilman  Wolf and Sergey  Gorinsky and Jonathan  Turner,,,,Teaching Experiences with a Virtual Network Laboratory,481--485,,5.0,"education, experimental computer science, laboratory",10.1145/1227504.1227473,SIGCSE Bull.,March 2007,39,1,,March,2007.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science education strategies
82,197,article,362610,Saul  Amarel,,,,Computer Science: A Conceptual Framework for Curriculum Planning,391--401,,11.0,"computer science, curriculum planning, education",10.1145/362604.362610,Commun. ACM,June 1971,14,6,,June,1971.0,0001-0782,,,,,,ACM,"New York, NY, USA",computer science education strategies
83,200,article,1869571,Nate  Anderson and Jens  Mache and William  Watson,,,,Learning CUDA: Lab Exercises and Experiences,183--188,,6.0,"CUDA, GPGPU, computer science education, parallel computing",10.1145/1869542.1869571,,,,,,,2010.0,,Proceedings of the ACM International Conference Companion on Object Oriented Programming Systems Languages and Applications Companion,OOPSLA '10,,978-1-4503-0240-1,"Reno/Tahoe, Nevada, USA",ACM,"New York, NY, USA",computer science education strategies
84,202,article,1640241,Adam L. Meyers and Marilyn C. Cole and Evan  Korth and Sam  Pluta,,,,Musicomputation: Teaching Computer Science to Teenage Musicians,29--38,,10.0,"computer music, computer science education, processing",10.1145/1640233.1640241,,,,,,,2009.0,,Proceedings of the Seventh ACM Conference on Creativity and Cognition,C&#38;C '09,,978-1-60558-865-0,"Berkeley, California, USA",ACM,"New York, NY, USA",computer science education strategies
87,205,article,2466518,Lindsey Ann Gouws and Karen  Bradshaw and Peter  Wentworth,,,,Computational Thinking in Educational Activities: An Evaluation of the Educational Game Light-bot,10--15,,6.0,"computational thinking, computer science education, evaluation framework",10.1145/2462476.2466518,,,,,,,2013.0,,Proceedings of the 18th ACM Conference on Innovation and Technology in Computer Science Education,ITiCSE '13,,978-1-4503-2078-8,"Canterbury, England, UK",ACM,"New York, NY, USA",computer science education strategies
88,206,article,1734406,Jennifer  Parham and Leo  Gugerty and D. E. Stevenson,,,,Empirical Evidence for the Existence and Uses of Metacognition in Computer Science Problem Solving,416--420,,5.0,"cognitive processing, computer science education, metacognition, problem solving, schemata",10.1145/1734263.1734406,,,,,,,2010.0,,Proceedings of the 41st ACM Technical Symposium on Computer Science Education,SIGCSE '10,,978-1-4503-0006-3,"Milwaukee, Wisconsin, USA",ACM,"New York, NY, USA",computer science education strategies
89,210,article,563811,Susan E. George,,,,Learning and the Reflective Journal in Computer Science,77--86,,10.0,"assessment methods, computer science education, learning, programming course, reflective journal",,,,,,,,2002.0,,Proceedings of the Twenty-fifth Australasian Conference on Computer Science - Volume 4,ACSC '02,,0-909925-82-8,"Melbourne, Victoria, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computer science education strategies
94,218,article,1352640,Jesse M. Heines and Kenneth J. Goldman and Jim  Jeffers and Edward A. Fox and Robert  Beck,,,,Interdisciplinary Approaches to Revitalizing Undergraduate Computing Education,68--72,,5.0,"computer science education, interdisciplinary programs",,J. Comput. Sci. Coll.,May 2008,23,5,,May,2008.0,1937-4771,,,,,,Consortium for Computing Sciences in Colleges,USA,computer science education strategies
95,219,article,2445366,Ran  Libeskind-Hadas,,,,A Derivation-first Approach to Teaching Algorithms,573--578,,6.0,"algorithms, computer science education, derivations",10.1145/2445196.2445366,,,,,,,2013.0,,Proceeding of the 44th ACM Technical Symposium on Computer Science Education,SIGCSE '13,,978-1-4503-1868-6,"Denver, Colorado, USA",ACM,"New York, NY, USA",computer science education strategies
97,222,article,1953249,Peter J. Desnoyers,,,,Teaching Operating Systems As How Computers Work,281--286,,6.0,"computer science education, operating systems",10.1145/1953163.1953249,,,,,,,2011.0,,Proceedings of the 42Nd ACM Technical Symposium on Computer Science Education,SIGCSE '11,,978-1-4503-0500-6,"Dallas, TX, USA",ACM,"New York, NY, USA",computer science education strategies
100,229,article,1953317,Tim  Bell and Lynn  Lambert,,,,Teaching Computer Science Majors About Teaching Computer Science,541--546,,6.0,"K-12, computer science education",10.1145/1953163.1953317,,,,,,,2011.0,,Proceedings of the 42Nd ACM Technical Symposium on Computer Science Education,SIGCSE '11,,978-1-4503-0500-6,"Dallas, TX, USA",ACM,"New York, NY, USA",computer science education strategies
101,230,article,2677308,Heather  Bort and Mimi  Czarnik and Dennis  Brylow,,,,Introducing Computing Concepts to Non-Majors: A Case Study in Gothic Novels,132--137,,6.0,"computer science education, network analysis",10.1145/2676723.2677308,,,,,,,2015.0,,Proceedings of the 46th ACM Technical Symposium on Computer Science Education,SIGCSE '15,,978-1-4503-2966-8,"Kansas City, Missouri, USA",ACM,"New York, NY, USA",computer science education strategies
104,246,article,2999553,Natalie  Culligan and Keith  Quille and Susan  Bergin,,,,VEAP: A Visualisation Engine and Analyzer for preSS#,130--134,,5.0,"computer science, data visualization, education, educational tools",10.1145/2999541.2999553,,,,,,,2016.0,,Proceedings of the 16th Koli Calling International Conference on Computing Education Research,Koli Calling '16,,978-1-4503-4770-9,"Koli, Finland",ACM,"New York, NY, USA",computer science education strategies
105,250,article,1536557,Quincy  Brown and Frank  Lee and Suzanne  Alejandre,,,,Emphasizing Soft Skills and Team Development in an Educational Digital Game Design Course,240--247,,8.0,"computer science education, games, multidisciplinary",10.1145/1536513.1536557,,,,,,,2009.0,,Proceedings of the 4th International Conference on Foundations of Digital Games,FDG '09,,978-1-60558-437-9,"Orlando, Florida",ACM,"New York, NY, USA",computer science education strategies
106,251,article,808622,Jean B. Rogers,,,,Inferring Cognitive Focus from Students' Programs,51--55,,5.0,"Computer science education, Programming instruction",10.1145/952980.808622,SIGCSE Bull.,February 1984,16,1,,January,1984.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science education strategies
111,260,article,2506005,Zeev  Fraiman and Evgeny  Kanel and Judith  Gal-Ezer and Tami  Lapidot,,,,Sharing Computer Science Education Ideas: Israeli-Russian Collaboration,76--81,,6.0,"computer science education, computer science high school curriculum, curriculum reform",10.1145/2505990.2506005,ACM Inroads,September 2013,4,3,,September,2013.0,2153-2184,,,,,,ACM,"New York, NY, USA",computer science education strategies
112,265,article,2677295,Philip Sheridan Buffum and Eleni V. Lobene and Megan Hardy Frankosky and Kristy Elizabeth Boyer and Eric N. Wiebe and James C. Lester,,,,A Practical Guide to Developing and Validating Computer Science Knowledge Assessments with Application to Middle School,622--627,,6.0,"assessment, computer science education, middle school",10.1145/2676723.2677295,,,,,,,2015.0,,Proceedings of the 46th ACM Technical Symposium on Computer Science Education,SIGCSE '15,,978-1-4503-2966-8,"Kansas City, Missouri, USA",ACM,"New York, NY, USA",computer science education strategies
113,266,article,2421281,Linda  Marshall,,,,A Comparison of the Core Aspects of the ACM/IEEE Computer Science Curriculum 2013 Strawman Report with the Specified Core of CC2001 and CS2008 Review,29--34,,6.0,"computer science, computing curricula",10.1145/2421277.2421281,,,,,,,2012.0,,Proceedings of Second Computer Science Education Research Conference,CSERC '12,,978-1-4503-1858-7,"Wroclaw, Poland",ACM,"New York, NY, USA",computer science education strategies
114,269,article,323291,Robert J. McGlinn and Linda  Lewis,,,,"IPEX1, a Library of Dynamic Introductory Programming Examples",72--77,,6.0,"Pascal, computer aided instruction, computer science education",10.1145/323275.323291,SIGCSE Bull.,Mar. 1985,17,1,,March,1985.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science education strategies
118,275,article,2513484,Lindsey  Gouws and Karen  Bradshaw and Peter  Wentworth,,,,First Year Student Performance in a Test for Computational Thinking,271--277,,7.0,"computational thinking, computer science education, student evaluation",10.1145/2513456.2513484,,,,,,,2013.0,,Proceedings of the South African Institute for Computer Scientists and Information Technologists Conference,SAICSIT '13,,978-1-4503-2112-9,"East London, South Africa",ACM,"New York, NY, USA",computer science education strategies
120,280,article,1017836,Michael  Eisenberg,,,,Tangible Ideas for Children: Materials Sciences As the Future of Educational Technology,19--26,,8.0,"educational technology, materials science",10.1145/1017833.1017836,,,,,,,2004.0,,Proceedings of the 2004 Conference on Interaction Design and Children: Building a Community,IDC '04,,1-58113-791-5,Maryland,ACM,"New York, NY, USA",computer science education strategies
121,281,article,2043600,Laura  Benvenuti and Paul E. van der Vet and Gerrit C. van der Veer,,,,"Sciences, Computing, Informatics: Who is the Keeper of the Real Faith?",73--78,,6.0,"computer science education, cultural differences, information science education, intellectual discipline",,,,,,,,2011.0,,Computer Science Education Research Conference,CSERC '11,,978 90 358 1987 0,"Heerlen, Netherlands","Open Universiteit, Heerlen","Open Univ., Heerlen, The Netherlands, The Netherlands",computer science education strategies
122,282,article,2910951,Herbert H. Tsang and Andrew J. Park,,,,A Proposal of Undergraduate Curriculum to Include Research Under the Experiential Learning Framework,6:1--6:6,6.0,6.0,"Education methods, computing science education, experiential learning, real-world experience, research",10.1145/2910925.2910951,,,,,,,2016.0,,Proceedings of the 21st Western Canadian Conference on Computing Education,WCCCE '16,,978-1-4503-4355-8,"Kamloops, BC, Canada",ACM,"New York, NY, USA",computer science education strategies
123,283,article,3017733,Sohum  Sohoni and Scotty D. Craig and Shaowen  Lu,,,,Impact of Prior Exposure to the PLP Instruction Set Architecture in a Computer Architecture Course,555--560,,6.0,"computer architecture, computer science education, courseware, educational technology, engineering education",10.1145/3017680.3017733,,,,,,,2017.0,,Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education,SIGCSE '17,,978-1-4503-4698-6,"Seattle, Washington, USA",ACM,"New York, NY, USA",computer science education strategies
124,284,article,2316942,Carlos J. Costa and Manuela  Aparicio and Carlos  Cordeiro,,,,A Solution to Support Student Learning of Programming,25--29,,5.0,"computer programming education, computer science education, engineering education",10.1145/2316936.2316942,,,,,,,2012.0,,Proceedings of the Workshop on Open Source and Design of Communication,OSDOC '12,,978-1-4503-1525-8,"Lisboa, Portugal",ACM,"New York, NY, USA",computer science education strategies
126,290,article,3059060,Jennifer  Rosato and Chery  Lucarelli and Cassandra  Beckworth and Ralph  Morelli,,,,A Comparison of Online and Hybrid Professional Development for CS Principles Teachers,140--145,,6.0,"community of practice, computer science principles, k-12 computer science, online professional development",10.1145/3059009.3059060,,,,,,,2017.0,,Proceedings of the 2017 ACM Conference on Innovation and Technology in Computer Science Education,ITiCSE '17,,978-1-4503-4704-4,"Bologna, Italy",ACM,"New York, NY, USA",computer science education strategies
127,291,article,1047893,Cuihua  Zhang and John E. Howland,,,,"Brief and Yet Bountiful: The History of Computing, Why Do Students Need It?",308--314,,7.0,"computer history, computer science curriculum, computer science education",,J. Comput. Sci. Coll.,April 2005,20,4,,April,2005.0,1937-4771,,,,,,Consortium for Computing Sciences in Colleges,USA,computer science education strategies
6,32,article,980002,Kris D. Powers,,,,Teaching Computer Architecture in Introductory Computing: Why? And How?,255--260,,6.0,"active learning, computer architecture, computer science education",,,,,,,,2004.0,,Proceedings of the Sixth Australasian Conference on Computing Education - Volume 30,ACE '04,,,"Dunedin, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computer science accessibility education
7,35,article,2381102,Jane  Margolis and Jean J. Ryoo and Cueponcaxochitl D. M. Sandoval and Clifford  Lee and Joanna  Goode and Gail  Chapman,,,,Beyond Access: Broadening Participation in High School Computer Science,72--78,,7.0,"Computer Science education, broadening participation, cultural relevance, equity, exploring Computer Science, pedagogy",10.1145/2381083.2381102,ACM Inroads,December 2012,3,4,,December,2012.0,2153-2184,,,,,,ACM,"New York, NY, USA",computer science accessibility education
8,36,article,1352233,Orit  Hazzan and Judith  Gal-Ezer and Lenore  Blum,,,,A Model for High School Computer Science Education: The Four Key Elements That Make It!,281--285,,5.0,"computer science education, computer science education research, curriculum, teacher preparation programs, teaching certificate",10.1145/1352135.1352233,,,,,,,2008.0,,Proceedings of the 39th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '08,,978-1-59593-799-5,"Portland, OR, USA",ACM,"New York, NY, USA",computer science accessibility education
12,48,article,2335850,Rubin H. Landau and Manuel J. Paez and Cristian C. Bordeianu,,,,"A Blended, Multimodal Access eTextBook in Computational Physics",52:1--52:7,52.0,7.0,"blended, computational physics, computational science, eBooks, education, executable paper, multimodal",10.1145/2335755.2335850,,,,,,,2012.0,,Proceedings of the 1st Conference of the Extreme Science and Engineering Discovery Environment: Bridging from the eXtreme to the Campus and Beyond,XSEDE '12,,978-1-4503-1602-6,"Chicago, Illinois, USA",ACM,"New York, NY, USA",computer science accessibility education
13,49,article,3091511,Elisabeth  Coskun and Su  White,,,,Web Science: Mapping the Curriculum,241--245,,5.0,"education, web science, web science curriculum",10.1145/3091478.3091511,,,,,,,2017.0,,Proceedings of the 2017 ACM on Web Science Conference,WebSci '17,,978-1-4503-4896-6,"Troy, New York, USA",ACM,"New York, NY, USA",computer science accessibility education
