,Unnamed: 0,type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,keyword
40,73,article,1839601,Leigh Ann  Sudol and Ciera  Jaspan,,,,Analyzing the Strength of Undergraduate Misconceptions About Software Engineering,31--40,,10.0,"misconceptions, software engineering education",10.1145/1839594.1839601,,,,,,,2010.0,,Proceedings of the Sixth International Workshop on Computing Education Research,ICER '10,,978-1-4503-0257-9,"Aarhus, Denmark",ACM,"New York, NY, USA",software engineering education theory
41,76,article,3131187,Marcelo H. Yamaguti and Fl&#225;vio M. de Oliveira and C&#225;ssio A. W. Trindade and Alessandra C. S. Dutra,,,,AGES: An Interdisciplinary Space Based on Projects for Software Engineering Learning,368--373,,6.0,"Software Engineering, education",10.1145/3131151.3131187,,,,,,,2017.0,,Proceedings of the 31st Brazilian Symposium on Software Engineering,SBES'17,,978-1-4503-5326-7,"Fortaleza, CE, Brazil",ACM,"New York, NY, USA",software engineering education theory
42,78,article,803190,Peter  Freeman and Anthony I. Wasserman,,,,A Proposed Curriculum for Software Engineering Education,56--62,,7.0,"Curricula, Education, Software engineering",,,,,,,,1978.0,,Proceedings of the 3rd International Conference on Software Engineering,ICSE '78,,,"Atlanta, Georgia, USA",IEEE Press,"Piscataway, NJ, USA",software engineering education theory
43,80,article,1121371,William M. Waite,,,,The Compiler Course in Today's Curriculum: Three Strategies,87--91,,5.0,"compilers, course pedagogy, curriculum issues, software engineering, theory, tools",10.1145/1124706.1121371,SIGCSE Bull.,March 2006,38,1,,March,2006.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering education theory
45,83,article,1595457,Shaoying  Liu and Kazuhiro  Takahashi and Toshinori  Hayashi and Toshihiro  Nakayama,,,,Teaching Formal Methods in the Context of Software Engineering,17--23,,7.0,"education, formal engineering methods, formal methods, software engineering, teaching methods",10.1145/1595453.1595457,SIGCSE Bull.,June 2009,41,2,,June,2009.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering education theory
46,84,article,1411736,Holger  Gast,,,,Patterns and Traceability in Teaching Software Architecture,23--31,,9.0,"software architecture, software engineering education",10.1145/1411732.1411736,,,,,,,2008.0,,Proceedings of the 6th International Symposium on Principles and Practice of Programming in Java,PPPJ '08,,978-1-60558-223-8,"Modena, Italy",ACM,"New York, NY, USA",software engineering education theory
47,86,article,1473221,Bojan  Tomi&#263; and Sini&#353;a  Vlaji&#263;,,,,Functional Testing for Students: A Practical Approach,58--62,,5.0,"functional testing, software engineering education, software testing, testing methodology",10.1145/1473195.1473221,SIGCSE Bull.,December 2008,40,4,,November,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering education theory
48,88,article,2372242,Petteri  Kaskenpalo and Stephen G. MacDonell,,,,Valuing Evaluation: Methodologies to Bridge Research and Practice,27--32,,6.0,"design science, grounded theory, practice, research, software engineering",10.1145/2372233.2372242,,,,,,,2012.0,,Proceedings of the 2Nd International Workshop on Evidential Assessment of Software Technologies,EAST '12,,978-1-4503-1509-8,"Lund, Sweden",ACM,"New York, NY, USA",software engineering education theory
49,95,article,2591152,Megha  Mittal and Ashish  Sureka,,,,Process Mining Software Repositories from Student Projects in an Undergraduate Software Engineering Course,344--353,,10.0,"Education Data Mining, Learning Analytic, Mining Software Repositories, Process Mining, Software Engineering Education",10.1145/2591062.2591152,,,,,,,2014.0,,Companion Proceedings of the 36th International Conference on Software Engineering,ICSE Companion 2014,,978-1-4503-2768-8,"Hyderabad, India",ACM,"New York, NY, USA",software engineering education theory
50,96,article,2538955,Daniel E. Krutz and Samuel A. Malachowsky and Thomas  Reichlmayr,,,,Using a Real World Project in a Software Testing Course,49--54,,6.0,"software engineering education, software project, software testing",10.1145/2538862.2538955,,,,,,,2014.0,,Proceedings of the 45th ACM Technical Symposium on Computer Science Education,SIGCSE '14,,978-1-4503-2605-6,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",software engineering education theory
51,97,article,2421282,Birgit  Penzenstadler and Veronika  Bauer,,,,Jumpstart Sustainability in Seminars: Hands-on Experiences in Class,37--44,,8.0,"education, requirements, software engineering, sustainability",10.1145/2421277.2421282,,,,,,,2012.0,,Proceedings of Second Computer Science Education Research Conference,CSERC '12,,978-1-4503-1858-7,"Wroclaw, Poland",ACM,"New York, NY, USA",software engineering education theory
52,100,article,1953207,Sriram  Mohan and Stephen  Chenoweth,,,,Teaching Requirements Engineering to Undergraduate Students,141--146,,6.0,"curriculum, education, requirements, software engineering",10.1145/1953163.1953207,,,,,,,2011.0,,Proceedings of the 42Nd ACM Technical Symposium on Computer Science Education,SIGCSE '11,,978-1-4503-0500-6,"Dallas, TX, USA",ACM,"New York, NY, USA",software engineering education theory
53,101,article,1140202,Dragutin  Petkovic and Gary  Thompson and Rainer  Todtenhoefer,,,,Teaching Practical Software Engineering and Global Software Engineering: Evaluation and Comparison,294--298,,5.0,"global software engineering, software engineering, software engineering education",10.1145/1140123.1140202,SIGCSE Bull.,September 2006,38,3,,June,2006.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering education theory
55,103,article,1992913,Matthias  Tilsner and Adrian  Fiech and Guangyao  Zhan and Thomas  Specht,,,,Patterns for Service Composition,133--137,,5.0,"formal models, service composition, service-oriented architecture, software engineering, theory",10.1145/1992896.1992913,,,,,,,2011.0,,Proceedings of The Fourth International C* Conference on Computer Science and Software Engineering,C3S2E '11,,978-1-4503-0626-3,"Montreal, Quebec, Canada",ACM,"New York, NY, USA",software engineering education theory
56,105,article,299674,Joseph A. Turner and Joseph L. Zachary,,,,Using Course-long Programming Projects in CS2,43--47,,5.0,"CS2, code maintenance, education, programming assignments, software engineering",10.1145/384266.299674,SIGCSE Bull.,March 1999,31,1,,March,1999.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering education theory
58,107,article,3131179,Rossana M. de Castro Andrade and Ismayle  de Sousa Santos and Italo Linhares de Ara&#250;jo and Bruno Sab&#243;ia Arag&#227;o and Fernanda  Siewerdt,,,,Retrospective for the Last 10 Years of Teaching Software Engineering in UFC's Computer Department,358--367,,10.0,"Software Engineering, Software Engineering Teaching-Learning Experience, Teaching-Learning Process",10.1145/3131151.3131179,,,,,,,2017.0,,Proceedings of the 31st Brazilian Symposium on Software Engineering,SBES'17,,978-1-4503-5326-7,"Fortaleza, CE, Brazil",ACM,"New York, NY, USA",software engineering education theory
59,111,article,979974,Nicole  Clark,,,,Peer Testing in Software Engineering Projects,41--48,,8.0,"collaboration, education, software engineering, testing",,,,,,,,2004.0,,Proceedings of the Sixth Australasian Conference on Computing Education - Volume 30,ACE '04,,,"Dunedin, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",software engineering education theory
60,112,article,3012507,Terje  Samuelsen and Ricardo  Colomo-Palacios and Monica  Kristiansen,,,,Learning Software Project Management in Teams with Diverse Backgrounds,127--131,,5.0,"education, software engineering management, teamwork",10.1145/3012430.3012507,,,,,,,2016.0,,Proceedings of the Fourth International Conference on Technological Ecosystems for Enhancing Multiculturality,TEEM '16,,978-1-4503-4747-1,"Salamanca, Spain",ACM,"New York, NY, USA",software engineering education theory
61,113,article,2157173,Sriram  Mohan and Stephen  Chenoweth and Shawn  Bohner,,,,Towards a Better Capstone Experience,111--116,,6.0,"capstone, curriculum, education, software engineering",10.1145/2157136.2157173,,,,,,,2012.0,,Proceedings of the 43rd ACM Technical Symposium on Computer Science Education,SIGCSE '12,,978-1-4503-1098-7,"Raleigh, North Carolina, USA",ACM,"New York, NY, USA",software engineering education theory
62,114,article,323403,James R. Comer and Herb C. Conn and Kurt A. Schember,,,,Software Design and Development: A Graduate Curriculum in Software Engineering,335--341,,7.0,"education, graduate curriculum, software engineering",10.1145/323275.323403,SIGCSE Bull.,Mar. 1985,17,1,,March,1985.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering education theory
64,118,article,1273686,Samuel  Mann and Lesley  Smith,,,,Software Engineering Class Eating Its Own Tail,115--123,,9.0,"computer education, software engineering projects",,,,,,,,2007.0,,Proceedings of the Ninth Australasian Conference on Computing Education - Volume 66,ACE '07,,1-920-68246-5,"Ballarat, Victoria, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",software engineering education theory
65,122,article,299688,Jennifer A. Polack-Wahl,,,,Incorporating the Client's Role in a Software Engineering Course,73--77,,5.0,"computer science education, software engineering",10.1145/384266.299688,SIGCSE Bull.,March 1999,31,1,,March,1999.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering education theory
67,125,article,3103047,Robert  Chatley and Tony  Field,,,,Lean Learning: Applying Lean Techniques to Improve Software Engineering Education,117--126,,10.0,"curriculum design, education, software engineering",10.1109/ICSE-SEET.2017.5,,,,,,,2017.0,,Proceedings of the 39th International Conference on Software Engineering: Software Engineering and Education Track,ICSE-SEET '17,,978-1-5386-2671-9,"Buenos Aires, Argentina",IEEE Press,"Piscataway, NJ, USA",software engineering education theory
68,126,article,1140175,Rudolf  Pecinovsk&#253; and Jarmila  Pavl&#237;&#269;kov&#225; and Lubo&#353;  Pavl&#237;&#269;ek,,,,Let's Modify the Objects-first Approach into Design-patterns-first,188--192,,5.0,"design patterns, design-patterns-first, objects first, software engineering education, teaching theory",10.1145/1140123.1140175,SIGCSE Bull.,September 2006,38,3,,June,2006.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering education theory
70,128,article,2351679,Ivar  Jacobson and Ian  Spence and Pontus  Johnson and Mira  Kajko-Mattsson,,,,Re-founding Software Engineering -- SEMAT at the Age of Three (Keynote Abstract),15--19,,5.0,"Kernel, activity space, alpha, education, method, practice, software engineering theory, status of SEMAT",10.1145/2351676.2351679,,,,,,,2012.0,,Proceedings of the 27th IEEE/ACM International Conference on Automated Software Engineering,ASE 2012,,978-1-4503-1204-2,"Essen, Germany",ACM,"New York, NY, USA",software engineering education theory
71,134,article,1083468,Orit  Hazzan,,,,Professional Development Workshop for Female Software Engineers,75--79,,5.0,"computer science education, gender, software engineering education",10.1145/1083431.1083468,SIGCSE Bull.,June 2005,37,2,,June,2005.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering education theory
23,44,article,2797471,Tihana Galinac Grbac and &#381;eljka  Car and Marin  Vukovi&#263;,,,,Requirements and Architecture Modeling in Software Engineering Courses,36:1--36:8,36.0,8.0,"Software engineering education, requirements analysis, software design engineering",10.1145/2797433.2797471,,,,,,,2015.0,,Proceedings of the 2015 European Conference on Software Architecture Workshops,ECSAW '15,,978-1-4503-3393-1,"Dubrovnik, Cavtat, Croatia",ACM,"New York, NY, USA",software engineering education strategies
25,54,article,3105550,Marcello  Missiroli and Daniel  Russo and Paolo  Ciancarini,,,,Agile for Millennials: A Comparative Study,47--53,,7.0,"K-12 education, scrum, software engineering education, waterfall",10.1109/SECM.2017.7,,,,,,,2017.0,,Proceedings of the 1st International Workshop on Software Engineering Curricula for Millennials,SECM '17,,978-1-5386-2795-2,"Buenos Aires, Argentina",IEEE Press,"Piscataway, NJ, USA",software engineering education strategies
37,73,article,1352218,Andrew  Begel and Beth  Simon,,,,Struggles of New College Graduates in Their First Software Development Job,226--230,,5.0,"computer science education, human aspects of software engineering, software development",10.1145/1352322.1352218,SIGCSE Bull.,March 2008,40,1.0,,March,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering education strategies
41,77,article,3131168,Leonardo  Sousa and Roberto  Oliveira and Alessandro  Garcia and Jaejoon  Lee and Tayana  Conte and Willian  Oizumi and Rafael  de Mello and Adriana  Lopes and Natasha  Valentim and Edson  Oliveira and Carlos  Lucena,,,,How Do Software Developers Identify Design Problems?: A Qualitative Analysis,54--63,,10.0,"design problem, software design, strategy, symptoms",10.1145/3131151.3131168,,,,,,,2017.0,,Proceedings of the 31st Brazilian Symposium on Software Engineering,SBES'17,,978-1-4503-5326-7,"Fortaleza, CE, Brazil",ACM,"New York, NY, USA",software engineering education strategies
45,85,article,3059032,Shifa-e-Zehra  Haidry and Katrina  Falkner and Claudia  Szabo,,,,Identifying Domain-Specific Cognitive Strategies for Software Engineering,206--211,,6.0,"instructional scaffolding, learning and education, problem solving, self-regulated learning, software engineering",10.1145/3059009.3059032,,,,,,,2017.0,,Proceedings of the 2017 ACM Conference on Innovation and Technology in Computer Science Education,ITiCSE '17,,978-1-4503-4704-4,"Bologna, Italy",ACM,"New York, NY, USA",software engineering education strategies
54,101,article,2601271,Miguel J. Monasor and John  Noll and Aurora  Vizca&#237;no and Mario  Piattini and Sarah  Beecham,,,,Walk Before You Run: Using Heuristic Evaluation to Assess a Training Tool Prototype,41:1--41:10,41.0,10.0,"cross-cultural project, education, global software development, interactive learning environments, simulation, teaching/learning strategies",10.1145/2601248.2601271,,,,,,,2014.0,,Proceedings of the 18th International Conference on Evaluation and Assessment in Software Engineering,EASE '14,,978-1-4503-2476-2,"London, England, United Kingdom",ACM,"New York, NY, USA",software engineering education strategies
55,104,article,2910938,Richard J. Sutcliffe and Benjamin  Kowarsch,,,,"Closing the Barn Door: Re-Prioritizing Safety, Security, and Reliability",1:1--1:15,1.0,15.0,"Education, Modula-2, Reliability, Safety, Security, Software Engineering",10.1145/2910925.2910938,,,,,,,2016.0,,Proceedings of the 21st Western Canadian Conference on Computing Education,WCCCE '16,,978-1-4503-4355-8,"Kamloops, BC, Canada",ACM,"New York, NY, USA",software engineering education strategies
56,105,article,2745806,Alcemir Rodrigues Santos and Raphael Pereira de Oliveira and Eduardo Santana de Almeida,,,,Strategies for Consistency Checking on Software Product Lines: A Mapping Study,5:1--5:14,5.0,14.0,"consistency checking, literature review, mapping study, software product line engineering",10.1145/2745802.2745806,,,,,,,2015.0,,Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering,EASE '15,,978-1-4503-3350-4,"Nanjing, China",ACM,"New York, NY, USA",software engineering education strategies
60,114,article,2537777,Douglas  Baldwin and Henry M. Walker and Peter B. Henderson,,,,The Roles of Mathematics in Computer Science,74--80,,7.0,"computer science education, mathematics, software engineering education",10.1145/2537753.2537777,ACM Inroads,December 2013,4,4.0,,December,2013.0,2153-2184,,,,,,ACM,"New York, NY, USA",software engineering education strategies
61,117,article,1047441,Karen L. Reid and Gregory V. Wilson,,,,Learning by Doing: Introducing Version Control As a Way to Manage Student Assignments,272--276,,5.0,"education, software engineering, software tools, version control",10.1145/1047124.1047441,SIGCSE Bull.,2005,37,1.0,,February,2005.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering education strategies
63,119,article,1082436,Nicole  Clark and Pamela  Davies and Rebecca  Skeers,,,,Self and Peer Assessment in Software Engineering Projects,91--100,,10.0,"education, peer assessment, software engineering",,,,,,,,2005.0,,Proceedings of the 7th Australasian Conference on Computing Education - Volume 42,ACE '05,,1-920682-24-4,"Newcastle, New South Wales, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",software engineering education strategies
64,122,article,1811240,Dino  Mandrioli and Stephen  Fickas and Carlo A. Furia and Mehdi  Jazayeri and Matteo  Rossi and Michal  Young,,,,SCORE: The First Student Contest on Software Engineering,24--30,,7.0,"ICSE, education, software engineering contest",10.1145/1811226.1811240,SIGSOFT Softw. Eng. Notes,July 2010,35,4.0,,July,2010.0,0163-5948,,,,,,ACM,"New York, NY, USA",software engineering education strategies
65,125,article,1287693,Roumen  Nikolov and Sylvia  Ilieva,,,,Building a Research University Ecosystem: The Case of Software Engineering Education at Sofia University,491--500,,10.0,"research university ecosystem, software engineering education, universities in knowledge society",10.1145/1287624.1287693,,,,,,,2007.0,,Proceedings of the the 6th Joint Meeting of the European Software Engineering Conference and the ACM SIGSOFT Symposium on The Foundations of Software Engineering,ESEC-FSE '07,,978-1-59593-811-4,"Dubrovnik, Croatia",ACM,"New York, NY, USA",software engineering education strategies
66,126,article,1631745,Christopher  Connolly and Gabriele  Meiselwitz,,,,Integrating Software Engineering in Computer Programming Education,50--54,,5.0,"computer science curriculum, information science curriculum, software engineering",10.1145/1631728.1631745,,,,,,,2009.0,,Proceedings of the 10th ACM Conference on SIG-information Technology Education,SIGITE '09,,978-1-60558-765-3,"Fairfax, Virginia, USA",ACM,"New York, NY, USA",software engineering education strategies
67,127,article,3105544,Nicol&#225;s Mart&#237;n Paez,,,,A Flipped Classroom Experience Teaching Software Engineering,16--20,,5.0,"agile, component, education, experience report, flipped classroom, software engineering",10.1109/SECM.2017.6,,,,,,,2017.0,,Proceedings of the 1st International Workshop on Software Engineering Curricula for Millennials,SECM '17,,978-1-5386-2795-2,"Buenos Aires, Argentina",IEEE Press,"Piscataway, NJ, USA",software engineering education strategies
70,132,article,336592,Mary  Shaw,,,,Software Engineering Education: A Roadmap,371--380,,10.0,"credentials, education, software engineering, software profession",10.1145/336512.336592,,,,,,,2000.0,,Proceedings of the Conference on The Future of Software Engineering,ICSE '00,,1-58113-253-0,"Limerick, Ireland",ACM,"New York, NY, USA",software engineering education strategies
71,133,article,1227421,Karen L. Reid and Gregory V. Wilson,,,,DrProject: A Software Project Management Portal to Meet Educational Needs,317--321,,5.0,"courseware, education, software engineering, software tools",10.1145/1227504.1227421,SIGCSE Bull.,March 2007,39,1.0,,March,2007.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering education strategies
73,135,article,2663672,Crescencio Rodrigues Lima Neto and Eduardo Santana de Almeida,,,,Five Years of Lessons Learned from the Software Engineering Course: Adapting Best Practices for Distributed Software Development,6--10,,5.0,"distributed software development, software engineering education",,,,,,,,2012.0,,Proceedings of the Second International Workshop on Collaborative Teaching of Globally Distributed Software Development,CTGDSD '12,,978-1-4673-1818-1,"Zurich, Switzerland",IEEE Press,"Piscataway, NJ, USA",software engineering education strategies
74,139,article,2808681,Antonio Sarasa Cabezuelo and Miguel &#193;ngel Conde and Jos&#233; Luis Sierra Rodr&#237;guez,,,,6th International Workshop on Software Engineering for E-Learning (ISELEAR15),661--665,,5.0,"eLearning engineering, educational technology, software engineering",10.1145/2808580.2808681,,,,,,,2015.0,,Proceedings of the 3rd International Conference on Technological Ecosystems for Enhancing Multiculturality,TEEM '15,,978-1-4503-3442-6,"Porto, Portugal",ACM,"New York, NY, USA",software engineering education strategies
75,142,article,2536550,Antonio  Sarasa-Cabezuelo and Jos&#233; Luis Sierra-Rodr&#237;guez,,,,Software Engineering for eLearning,81--86,,6.0,"educational technology, elearning engineering, software engineering",10.1145/2536536.2536550,,,,,,,2013.0,,Proceedings of the First International Conference on Technological Ecosystem for Enhancing Multiculturality,TEEM '13,,978-1-4503-2345-1,"Salamanca, Spain",ACM,"New York, NY, USA",software engineering education strategies
76,145,article,1822159,Luis G. Mart&#237;nez and Guillermo  Licea and Antonio  Rodr&#237;guez-D&#237;az and Juan R. Castro,,,,Experiences in Software Engineering Courses Using Psychometrics with RAMSET,244--248,,5.0,"empirical research, personality, psychometrics, software engineering",10.1145/1822090.1822159,,,,,,,2010.0,,Proceedings of the Fifteenth Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '10,,978-1-60558-820-9,"Bilkent, Ankara, Turkey",ACM,"New York, NY, USA",software engineering education strategies
77,146,article,381544,Terry  Shepard,,,,An Efficient Set of Software Degree Programs for One Domain,623--632,,10.0,"computer engineering, licensing of software engineers, software Ph.D, software education",,,,,,,,2001.0,,Proceedings of the 23rd International Conference on Software Engineering,ICSE '01,,0-7695-1050-7,"Toronto, Ontario, Canada",IEEE Computer Society,"Washington, DC, USA",software engineering education strategies
78,148,article,2896961,Alexander  Nassal and Matthias  Tichy,,,,Modeling Human Behavior for Software Engineering Simulation Games,8--14,,7.0,"human behavior, project management, simulation, simulation games, software engineering education",10.1145/2896958.2896961,,,,,,,2016.0,,Proceedings of the 5th International Workshop on Games and Software Engineering,GAS '16,,978-1-4503-4160-8,"Austin, Texas",ACM,"New York, NY, USA",software engineering education strategies
80,150,article,1709448,Nicola  Ritter and Tanya  McGill and Nik  Thompson,,,,Incremental Submission of Programming Code Using Object-oriented Classes,66--70,,5.0,"agile methods, software development, software engineering education",10.1145/1709424.1709448,SIGCSE Bull.,December 2009,41,4.0,,January,2010.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering education strategies
82,158,article,1134390,Ita  Richardson and Allen E. Milewski and Neel  Mullick and Patrick  Keil,,,,Distributed Development: An Education Perspective on the Global Studio Project,679--684,,6.0,"curriculum, global software development, software engineering education",10.1145/1134285.1134390,,,,,,,2006.0,,Proceedings of the 28th International Conference on Software Engineering,ICSE '06,,1-59593-375-1,"Shanghai, China",ACM,"New York, NY, USA",software engineering education strategies
83,159,article,1121473,Chang  Liu,,,,Software Project Demonstrations As Not Only an Assessment Tool but Also a Learning Tool,423--427,,5.0,"software engineering education, software project courses",10.1145/1124706.1121473,SIGCSE Bull.,March 2006,38,1.0,,March,2006.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering education strategies
85,161,article,2687245,Sergey  Zykov,,,,Building Software Engineering Curricula for the Innovative City: Lessons Learned at Carnegie Mellon,4:1--4:5,4.0,5.0,"software development, software engineering curricula, software engineering education",10.1145/2687233.2687245,,,,,,,2014.0,,Proceedings of the 10th Central and Eastern European Software Engineering Conference in Russia,CEE-SECR '14,,978-1-4503-2889-0,"Moscow, Russia",ACM,"New York, NY, USA",software engineering education strategies
87,165,article,3024909,Ludwik  Kuzniarz and Luiz Eduardo G. Martins,,,,Teaching Model-Driven Software Development: A Pilot Study,45--56,,12.0,"Model-driven software development, software engineering education",10.1145/3024906.3024909,,,,,,,2016.0,,Proceedings of the 2016 ITiCSE Working Group Reports,ITiCSE '16,,978-1-4503-4882-9,"Arequipa, Peru",ACM,"New York, NY, USA",software engineering education strategies
88,166,article,2047653,David Matthew Whittinghill and Kyle D. Lutes,,,,Teaching Enterprise Application Development: Strategies and Challenges,221--226,,6.0,"education, enterprise application development, teaching",10.1145/2047594.2047653,,,,,,,2011.0,,Proceedings of the 2011 Conference on Information Technology Education,SIGITE '11,,978-1-4503-1017-8,"West Point, New York, USA",ACM,"New York, NY, USA",software engineering education strategies
89,169,article,2663674,Juraj  Feljan and Ivica  Crnkovi&#263; and Ivana  Bosni&#263; and Marin  Orli&#263; and Mario  &#381;agar,,,,Distributed Software Development Course: Students' and Teachers' Perspectives,16--20,,5.0,"distributed software development, education, global software engineering",,,,,,,,2012.0,,Proceedings of the Second International Workshop on Collaborative Teaching of Globally Distributed Software Development,CTGDSD '12,,978-1-4673-1818-1,"Zurich, Switzerland",IEEE Press,"Piscataway, NJ, USA",software engineering education strategies
90,172,article,3131185,Fabiane Barreto Vavassori Benitti,,,,"As a Teacher, I Want to Know What to Teach in Requirements Engineering So That Professionals Can Be Better Prepared",318--327,,10.0,"Education, Requirement Engineering",10.1145/3131151.3131185,,,,,,,2017.0,,Proceedings of the 31st Brazilian Symposium on Software Engineering,SBES'17,,978-1-4503-5326-7,"Fortaleza, CE, Brazil",ACM,"New York, NY, USA",software engineering education strategies
91,174,article,2421283,Vreda  Pieterse and Lisa  Thompson and Linda  Marshall and Dina M. Venter,,,,An Intensive Software Engineering Learning Experience,47--54,,8.0,"diligent isolate, social loafing, teaching software engineering, teaching teamwork",10.1145/2421277.2421283,,,,,,,2012.0,,Proceedings of Second Computer Science Education Research Conference,CSERC '12,,978-1-4503-1858-7,"Wroclaw, Poland",ACM,"New York, NY, USA",software engineering education strategies
92,175,article,336519,Anthony  Finkelsteiin and Jeff  Kramer,,,,Software Engineering: A Roadmap,3--22,,20.0,"discipline, future, research, software engineering, strategy",10.1145/336512.336519,,,,,,,2000.0,,Proceedings of the Conference on The Future of Software Engineering,ICSE '00,,1-58113-253-0,"Limerick, Ireland",ACM,"New York, NY, USA",software engineering education strategies
95,178,article,2889200,Roxana Lisette Quintanilla Portugal and Priscila  Engiel and Joanna  Pivatelli and Julio Cesar Sampaio do Prado Leite,,,,Facing the Challenges of Teaching Requirements Engineering,461--470,,10.0,"collaboration, communication, cooperation, coordination, creativity, pedagogic strategy, project-based learning, requirements elicitation, requirements engineering education, role-playing learning, teaching requirements engineering",10.1145/2889160.2889200,,,,,,,2016.0,,Proceedings of the 38th International Conference on Software Engineering Companion,ICSE '16,,978-1-4503-4205-6,"Austin, Texas",ACM,"New York, NY, USA",software engineering education strategies
96,179,article,1248899,Sebastian  Elbaum and Suzette  Person and Jon  Dokulil and Matt  Jorde,,,,Bug Hunt: Making Early Software Testing Lessons Engaging and Affordable,688--697,,10.0,"Software Testing Education, Web-based Tutorial.",10.1109/ICSE.2007.23,,,,,,,2007.0,,Proceedings of the 29th International Conference on Software Engineering,ICSE '07,,0-7695-2828-7,,IEEE Computer Society,"Washington, DC, USA",software engineering education strategies
100,185,article,1047515,David G. Kay and Andr&#233;  van der Hoek and Debra J. Richardson,,,,Informatics: A Focus on Computer Science in Context,551--555,,5.0,"computer science education, contextual learning, education, informatics, software engineering education",10.1145/1047124.1047515,SIGCSE Bull.,2005,37,1.0,,February,2005.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering education strategies
102,187,article,2663677,Daniela  Damian and Casper  Lassenius and Maria  Paasivaara and Arber  Borici and Adrian  Schr&#246;ter,,,,Teaching a Globally Distributed Project Course Using Scrum Practices,30--34,,5.0,"agile development, distributed Scrum, global software engineering, software engineering education",,,,,,,,2012.0,,Proceedings of the Second International Workshop on Collaborative Teaching of Globally Distributed Software Development,CTGDSD '12,,978-1-4673-1818-1,"Zurich, Switzerland",IEEE Press,"Piscataway, NJ, USA",software engineering education strategies
103,188,article,2247578,Youry  Khmelevsky and Ga&#233;tan  Hains and Chong  Li,,,,Automatic Code Generation Within Student's Software Engineering Projects,29--33,,5.0,"EMF, UML, code generation, documentation, eclipse, scalability, software development, software engineering, student projects, technology, xUML",10.1145/2247569.2247578,,,,,,,2012.0,,Proceedings of the Seventeenth Western Canadian Conference on Computing Education,WCCCE '12,,978-1-4503-1407-7,"Vancouver, British Columbia, Canada",ACM,"New York, NY, USA",software engineering education strategies
106,192,article,1268837,Guy  Tremblay and Bruno  Malenfant and Aziz  Salah and Pablo  Zentilli,,,,Introducing Students to Professional Software Construction: A Software Construction and Maintenance Course and Its Maintenance Corpus,176--180,,5.0,"maintenance, software engineering, testing",10.1145/1269900.1268837,SIGCSE Bull.,September 2007,39,3.0,,June,2007.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering education strategies
108,198,article,961561,Orit  Hazzan,,,,Computer Science Students' Conception of the Relationship Between Reward (Grade) and Cooperation,178--182,,5.0,"cooperation, software engineering, teamwork",10.1145/961290.961561,SIGCSE Bull.,September 2003,35,3.0,,June,2003.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering education strategies
110,201,article,1227467,"Barry L. Kurtz and James B. Fenwick,Jr. and Christopher C. Ellsworth and Xiaohong  Yuan and Adam  Steele and Xiaoping  Jia",,,,Inter-University Software Engineering Using Web Services,464--468,,5.0,"inter-university, software engineering education, web services",10.1145/1227504.1227467,SIGCSE Bull.,March 2007,39,1.0,,March,2007.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering education strategies
112,203,article,1082441,Katherine  Shaw and Julian  Dermoudy,,,,Engendering an Empathy for Software Engineering,135--144,,10.0,"experiential learning, simulation, software engineering education",,,,,,,,2005.0,,Proceedings of the 7th Australasian Conference on Computing Education - Volume 42,ACE '05,,1-920682-24-4,"Newcastle, New South Wales, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",software engineering education strategies
114,205,article,1352170,Ronald J. Leach and Legand L. Burge and Harry N. Keeling,,,,Can Students Reengineer?,102--106,,5.0,"program comprehension, program understanding, reengineering, software engineering, software engineering education",10.1145/1352322.1352170,SIGCSE Bull.,March 2008,40,1.0,,March,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering education strategies
