,type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,keyword
100,article,1562917,J. &#193;ngel Vel&#225;zquez-Iturbide and Antonio  P&#233;rez-Carrasco,,,,Active Learning of Greedy Algorithms by Means of Interactive Experimentation,119--123,,5.0,"active learning, greedy algorithms, usability, visualization",10.1145/1562877.1562917,,,,,,,2009.0,,Proceedings of the 14th Annual ACM SIGCSE Conference on Innovation and Technology in Computer Science Education,ITiCSE '09,,978-1-60558-381-5,"Paris, France",ACM,"New York, NY, USA",computing usability education
105,article,1140142,Herman  Koppelman and Betsy  van Dijk,,,,Creating a Realistic Context for Team Projects in HCI,58--62,,5.0,"human-computer interaction, team projects, usability, user-centered design",10.1145/1140124.1140142,,,,,,,2006.0,,Proceedings of the 11th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education,ITICSE '06,,1-59593-055-8,"Bologna, Italy",ACM,"New York, NY, USA",computing usability education
106,article,2814467,Andrius Eimantas Vosylius and Kristina  Lapin,,,,Usability of Educational Websites for Tablet Computers,2:1--2:10,2,10.0,"HCI, Usability, education, heuristics, inspection, mobile, touch screen",10.1145/2814464.2814467,,,,,,,2015.0,,"Proceedings of the Mulitimedia, Interaction, Design and Innnovation",MIDI '15,,978-1-4503-3601-7,"Warsaw, Poland",ACM,"New York, NY, USA",computing usability education
107,article,961567,Evelyn P. Rozanski and Nan C. Schaller,,,,Integrating Usability Engineering into the Computer Science Curriculum: A Proposal,202--206,,5.0,"HCI, usability engineering lifecycle, user-centered design",10.1145/961290.961567,SIGCSE Bull.,September 2003,35,3,,June,2003.0,0097-8418,,,,,,ACM,"New York, NY, USA",computing usability education
40,article,3103053,Patr&#237;cia Gomes Fernandes Matsubara and Caroline Lima Corr&#234;a da Silva,,,,Game Elements in a Software Engineering Study Group: A Case Study,160--169,,10.0,"gamification, grounded-theory, software engineering education",10.1109/ICSE-SEET.2017.8,,,,,,,2017.0,,Proceedings of the 39th International Conference on Software Engineering: Software Engineering and Education Track,ICSE-SEET '17,,978-1-5386-2671-9,"Buenos Aires, Argentina",IEEE Press,"Piscataway, NJ, USA",software engineering education theory
42,article,1473218,Gordana  Jovanovic-Dolecek and Alfonso  Fernandez-Vazquez,,,,Use of MATLAB in Teaching the Fundamentals of Random Variables,46--51,,6.0,"MATLAB, educational software, probability theory",10.1145/1473195.1473218,SIGCSE Bull.,December 2008,40,4,,November,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering education theory
45,article,807660,Peter  Freeman and Anthony I. Wasserman and Richard E. Fairley,,,,Essential Elements of Software Engineering Education,116--122,,7.0,"Education, Problem-solving, Software design, Software engineering",,,,,,,,1976.0,,Proceedings of the 2Nd International Conference on Software Engineering,ICSE '76,,,"San Francisco, California, USA",IEEE Computer Society Press,"Los Alamitos, CA, USA",software engineering education theory
46,article,1138435,Paul S. Grisham and Herb  Krasner and Dewayne E. Perry,,,,Data Engineering Education with Real-world Projects,64--68,,5.0,"database systems, requirements engineering, software engineering education, systems engineering",10.1145/1138403.1138435,SIGCSE Bull.,June 2006,38,2,,June,2006.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering education theory
47,article,3103034,Hakan  Erdogmus and C&#233;cile  P&#233;raire,,,,Flipping a Graduate-level Software Engineering Foundations Course,23--32,,10.0,"flipped classroom, inverted instruction, software education curricula, software engineering education",10.1109/ICSE-SEET.2017.20,,,,,,,2017.0,,Proceedings of the 39th International Conference on Software Engineering: Software Engineering and Education Track,ICSE-SEET '17,,978-1-5386-2671-9,"Buenos Aires, Argentina",IEEE Press,"Piscataway, NJ, USA",software engineering education theory
49,article,2889195,Joseph  Feliciano and Margaret-Anne  Storey and Alexey  Zagalsky,,,,Student Experiences Using GitHub in Software Engineering Courses: A Case Study,422--431,,10.0,"GitHub, collaboration, education, learning, software engineering",10.1145/2889160.2889195,,,,,,,2016.0,,Proceedings of the 38th International Conference on Software Engineering Companion,ICSE '16,,978-1-4503-4205-6,"Austin, Texas",ACM,"New York, NY, USA",software engineering education theory
50,article,1999599,Erica R. de Oliveira and Raquel O. Prates and Gisleide A. M. Werneck,,,,Considera\c{C}\~{O}Es Sobre Aplica\c{C}\~{A}O Do M\'{E}Todo De Avalia\c{C}\~{A}O De Comunicabilidade Ao Dom\'{I}Nio Educacional,41--50,,10.0,"communicability evaluation method, educational software, semiotic engineering",,,,,,,,2010.0,,Proceedings of the IX Symposium on Human Factors in Computing Systems,IHC '10,,,"Belo Horizonte, Minas Gerais, Brazil",Brazilian Computer Society,"Porto Alegre, Brazil, Brazil",software engineering education theory
55,article,1067485,Elizabeth  Sweedyk and Robert M. Keller,,,,Fun and Games: A New Software Engineering Course,138--142,,5.0,"computer games, education, software engineering, video games",10.1145/1067445.1067485,,,,,,,2005.0,,Proceedings of the 10th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education,ITiCSE '05,,1-59593-024-8,"Caparica, Portugal",ACM,"New York, NY, USA",software engineering education theory
70,article,2884833,Klaas-Jan  Stol and Paul  Ralph and Brian  Fitzgerald,,,,Grounded Theory in Software Engineering Research: A Critical Review and Guidelines,120--131,,12.0,"grounded theory, guidelines, review, software engineering",10.1145/2884781.2884833,,,,,,,2016.0,,Proceedings of the 38th International Conference on Software Engineering,ICSE '16,,978-1-4503-3900-1,"Austin, Texas",ACM,"New York, NY, USA",software engineering education theory
83,article,1595457,Shaoying  Liu and Kazuhiro  Takahashi and Toshinori  Hayashi and Toshihiro  Nakayama,,,,Teaching Formal Methods in the Context of Software Engineering,17--23,,7.0,"education, formal engineering methods, formal methods, software engineering, teaching methods",10.1145/1595453.1595457,SIGCSE Bull.,June 2009,41,2,,June,2009.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering education theory
86,article,1473221,Bojan  Tomi&#263; and Sini&#353;a  Vlaji&#263;,,,,Functional Testing for Students: A Practical Approach,58--62,,5.0,"functional testing, software engineering education, software testing, testing methodology",10.1145/1473195.1473221,SIGCSE Bull.,December 2008,40,4,,November,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering education theory
88,article,2372242,Petteri  Kaskenpalo and Stephen G. MacDonell,,,,Valuing Evaluation: Methodologies to Bridge Research and Practice,27--32,,6.0,"design science, grounded theory, practice, research, software engineering",10.1145/2372233.2372242,,,,,,,2012.0,,Proceedings of the 2Nd International Workshop on Evidential Assessment of Software Technologies,EAST '12,,978-1-4503-1509-8,"Lund, Sweden",ACM,"New York, NY, USA",software engineering education theory
95,article,2591152,Megha  Mittal and Ashish  Sureka,,,,Process Mining Software Repositories from Student Projects in an Undergraduate Software Engineering Course,344--353,,10.0,"Education Data Mining, Learning Analytic, Mining Software Repositories, Process Mining, Software Engineering Education",10.1145/2591062.2591152,,,,,,,2014.0,,Companion Proceedings of the 36th International Conference on Software Engineering,ICSE Companion 2014,,978-1-4503-2768-8,"Hyderabad, India",ACM,"New York, NY, USA",software engineering education theory
42,article,2157173,Sriram  Mohan and Stephen  Chenoweth and Shawn  Bohner,,,,Towards a Better Capstone Experience,111--116,,6.0,"capstone, curriculum, education, software engineering",10.1145/2157136.2157173,,,,,,,2012.0,,Proceedings of the 43rd ACM Technical Symposium on Computer Science Education,SIGCSE '12,,978-1-4503-1098-7,"Raleigh, North Carolina, USA",ACM,"New York, NY, USA",software engineering education strategies
44,article,2797471,Tihana Galinac Grbac and &#381;eljka  Car and Marin  Vukovi&#263;,,,,Requirements and Architecture Modeling in Software Engineering Courses,36:1--36:8,36.0,8.0,"Software engineering education, requirements analysis, software design engineering",10.1145/2797433.2797471,,,,,,,2015.0,,Proceedings of the 2015 European Conference on Software Architecture Workshops,ECSAW '15,,978-1-4503-3393-1,"Dubrovnik, Cavtat, Croatia",ACM,"New York, NY, USA",software engineering education strategies
75,article,2823345,Ilias  Gerostathopoulos and Tomas  Bures and Petr  Hnetynka and Adam  Hujecek and Frantisek  Plasil and Dominik  Skoda,,,,Strengthening Adaptation in Cyber-Physical Systems via Meta-Adaptation Strategies,13:1--13:25,13.0,25.0,"Meta-adaptation strategies, adaptation strategies",10.1145/2823345,ACM Trans. Cyber-Phys. Syst.,July 2017,1,3,,April,2017.0,2378-962X,,,,,,ACM,"New York, NY, USA",software engineering education strategies
77,article,3131168,Leonardo  Sousa and Roberto  Oliveira and Alessandro  Garcia and Jaejoon  Lee and Tayana  Conte and Willian  Oizumi and Rafael  de Mello and Adriana  Lopes and Natasha  Valentim and Edson  Oliveira and Carlos  Lucena,,,,How Do Software Developers Identify Design Problems?: A Qualitative Analysis,54--63,,10.0,"design problem, software design, strategy, symptoms",10.1145/3131151.3131168,,,,,,,2017.0,,Proceedings of the 31st Brazilian Symposium on Software Engineering,SBES'17,,978-1-4503-5326-7,"Fortaleza, CE, Brazil",ACM,"New York, NY, USA",software engineering education strategies
83,article,1121371,William M. Waite,,,,The Compiler Course in Today's Curriculum: Three Strategies,87--91,,5.0,"compilers, course pedagogy, curriculum issues, software engineering, theory, tools",10.1145/1121341.1121371,,,,,,,2006.0,,Proceedings of the 37th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '06,,1-59593-259-3,"Houston, Texas, USA",ACM,"New York, NY, USA",software engineering education strategies
85,article,3059032,Shifa-e-Zehra  Haidry and Katrina  Falkner and Claudia  Szabo,,,,Identifying Domain-Specific Cognitive Strategies for Software Engineering,206--211,,6.0,"instructional scaffolding, learning and education, problem solving, self-regulated learning, software engineering",10.1145/3059009.3059032,,,,,,,2017.0,,Proceedings of the 2017 ACM Conference on Innovation and Technology in Computer Science Education,ITiCSE '17,,978-1-4503-4704-4,"Bologna, Italy",ACM,"New York, NY, USA",software engineering education strategies
42,article,1352170,Ronald J. Leach and Legand L. Burge and Harry N. Keeling,,,,Can Students Reengineer?,102--106,,5.0,"program comprehension, program understanding, reengineering, software engineering, software engineering education",10.1145/1352135.1352170,,,,,,,2008.0,,Proceedings of the 39th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '08,,978-1-59593-799-5,"Portland, OR, USA",ACM,"New York, NY, USA",software engineering accessibility education
50,article,1953291,Thomas R. Gross,,,,Breadth in Depth: A 1st Year Introduction to Parallel Programming,435--440,,6.0,"cs education, parallel programming, software engineering",10.1145/1953163.1953291,,,,,,,2011.0,,Proceedings of the 42Nd ACM Technical Symposium on Computer Science Education,SIGCSE '11,,978-1-4503-0500-6,"Dallas, TX, USA",ACM,"New York, NY, USA",software engineering accessibility education
56,article,2897594,Olaa  Alsaedi and Zachary  Toups and Jonathan  Cook,,,,Can a Team Coordination Game Help Student Software Project Teams?,33--39,,7.0,"game based education, software engineering education, team coordination",10.1145/2897586.2897594,,,,,,,2016.0,,Proceedings of the 9th International Workshop on Cooperative and Human Aspects of Software Engineering,CHASE '16,,978-1-4503-4155-4,"Austin, Texas",ACM,"New York, NY, USA",software engineering accessibility education
87,article,2819048,Farshid  Anvari and Deborah  Richards and Michael  Hitchens and Muhammad Ali Babar,,,,Effectiveness of Persona with Personality Traits on Conceptual Design,263--272,,10.0,"conceptual design, persona, personality, software engineering education, user-centered design",,,,,,,,2015.0,,Proceedings of the 37th International Conference on Software Engineering - Volume 2,ICSE '15,,,"Florence, Italy",IEEE Press,"Piscataway, NJ, USA",software engineering accessibility education
88,article,2844618,Yang  Li and Stephan  Krusche and Christian  Lescher and Bernd  Bruegge,,,,Teaching Global Software Engineering by Simulating a Global Project in the Classroom,187--192,,6.0,"classroom, education, global software engineering, project management, simulation",10.1145/2839509.2844618,,,,,,,2016.0,,Proceedings of the 47th ACM Technical Symposium on Computing Science Education,SIGCSE '16,,978-1-4503-3685-7,"Memphis, Tennessee, USA",ACM,"New York, NY, USA",software engineering accessibility education
92,article,979974,Nicole  Clark,,,,Peer Testing in Software Engineering Projects,41--48,,8.0,"collaboration, education, software engineering, testing",,,,,,,,2004.0,,Proceedings of the Sixth Australasian Conference on Computing Education - Volume 30,ACE '04,,,"Dunedin, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",software engineering accessibility education
94,article,3012507,Terje  Samuelsen and Ricardo  Colomo-Palacios and Monica  Kristiansen,,,,Learning Software Project Management in Teams with Diverse Backgrounds,127--131,,5.0,"education, software engineering management, teamwork",10.1145/3012430.3012507,,,,,,,2016.0,,Proceedings of the Fourth International Conference on Technological Ecosystems for Enhancing Multiculturality,TEEM '16,,978-1-4503-4747-1,"Salamanca, Spain",ACM,"New York, NY, USA",software engineering accessibility education
100,article,299688,Jennifer A. Polack-Wahl,,,,Incorporating the Client's Role in a Software Engineering Course,73--77,,5.0,"computer science education, software engineering",10.1145/384266.299688,SIGCSE Bull.,March 1999,31,1,,March,1999.0,0097-8418,,,,,,ACM,"New York, NY, USA",software engineering accessibility education
111,article,1595691,Glenn  Wurster and P. C. van Oorschot,,,,The Developer is the Enemy,89--97,,9.0,"development tools, education, human factors, persuasion, software developers, software security, usability",10.1145/1595676.1595691,,,,,,,2008.0,,Proceedings of the 2008 New Security Paradigms Workshop,NSPW '08,,978-1-60558-341-9,"Lake Tahoe, California, USA",ACM,"New York, NY, USA",software engineering usability education
112,article,2910938,Richard J. Sutcliffe and Benjamin  Kowarsch,,,,"Closing the Barn Door: Re-Prioritizing Safety, Security, and Reliability",1:1--1:15,1.0,15.0,"Education, Modula-2, Reliability, Safety, Security, Software Engineering",10.1145/2910925.2910938,,,,,,,2016.0,,Proceedings of the 21st Western Canadian Conference on Computing Education,WCCCE '16,,978-1-4503-4355-8,"Kamloops, BC, Canada",ACM,"New York, NY, USA",software engineering usability education
113,article,973635,Nelly  Maneva,,,,An Approach to Usability Assurance,90--94,,5.0,"software ergonomic, usability, usability assurance",10.1145/973620.973635,,,,,,,2003.0,,Proceedings of the 4th International Conference Conference on Computer Systems and Technologies: E-Learning,CompSysTech '03,,954-9641-33-3,"Rousse, Bulgaria",ACM,"New York, NY, USA",software engineering usability education
7,article,820188,Wendy  Cukier and Denise  Shortt and Irene  Devine,,,,Gender and Information Technology: Implications of Definitions,142--148,,7.0,"gender, human resources, information technology, institutional theory",10.1145/820127.820188,SIGCSE Bull.,December 2002,34,4,,December,2002.0,0097-8418,,,,,,ACM,"New York, NY, USA",information technology education theory
8,article,2369238,Laura  Hosman and Maja  Cvetanoska,,,,"Technology, Teachers, and Training: Combining Theory with Macedonia's Experience",20:1--20:10,20.0,10.0,"Macedonia, computer aided instruction, developing nations, development, education, educational technology, social factors, technology",10.1145/2369220.2369238,,,,,,,2010.0,,Proceedings of the 4th ACM/IEEE International Conference on Information and Communication Technologies and Development,ICTD '10,,978-1-4503-0787-1,"London, United Kingdom",ACM,"New York, NY, USA",information technology education theory
17,article,1095726,Soleda T. Leung and Christopher  Johnson,,,,Computational Concepts in IT: A New Approach to IT Mathematics,37--42,,6.0,"algorithm, algorithm design, application, approximation, curriculum design, graph theory, information technology, mathematics, number theory",10.1145/1095714.1095726,,,,,,,2005.0,,Proceedings of the 6th Conference on Information Technology Education,SIGITE '05,,1-59593-252-6,"Newark, NJ, USA",ACM,"New York, NY, USA",information technology education theory
21,article,2699432,Rahul  Jain,,,,New Strong Direct Product Results in Communication Complexity,20:1--20:27,20.0,27.0,"Communication complexity, information theory, strong direct product",10.1145/2699432,J. ACM,June 2015,62,3,,June,2015.0,0004-5411,,,,,,ACM,"New York, NY, USA",information technology education theory
22,article,1328097,Malathi  Subramanian,,,,Theory and Practice of e-Governance in India: A Gender Perspective,187--195,,9.0,"citizenship, empowerment, gender, information communication technology, information society, participation",10.1145/1328057.1328097,,,,,,,2007.0,,Proceedings of the 1st International Conference on Theory and Practice of Electronic Governance,ICEGOV '07,,978-1-59593-822-0,"Macao, China",ACM,"New York, NY, USA",information technology education theory
31,article,3084389,Damien  Joseph and Tenace K. Setor and Shirish C. Srivastava,,,,Do IT Professionals Attend to Internal and External Distributive Justice?,7--11,,5.0,"human factors, management, theory",10.1145/3084381.3084389,,,,,,,2017.0,,Proceedings of the 2017 ACM SIGMIS Conference on Computers and People Research,SIGMIS-CPR '17,,978-1-4503-5037-2,"Bangalore, India",ACM,"New York, NY, USA",information technology education theory
35,article,3083679,Colin  Dodds and Ahmed  Kharrufa and Anne  Preston and Catherine  Preston and Patrick  Olivier,,,,Remix Portal: Connecting Classrooms with Local Music Communities,203--212,,10.0,"Music, activity theory, education, music production, remixing",10.1145/3083671.3083679,,,,,,,2017.0,,Proceedings of the 8th International Conference on Communities and Technologies,C&T '17,,978-1-4503-4854-6,"Troyes, France",ACM,"New York, NY, USA",information technology education theory
38,article,1168845,C. Richard G. Helps,,,,Instructional Design Theory Provides Insights into Evolving Information Technology Technical Curricula,129--134,,6.0,"Moore's law, UML, curriculum design, instructional design theory, learning theory, technology evolution",10.1145/1168812.1168845,,,,,,,2006.0,,Proceedings of the 7th Conference on Information Technology Education,SIGITE '06,,1-59593-521-5,"Minneapolis, Minnesota, USA",ACM,"New York, NY, USA",information technology education theory
48,article,1631797,Manimegalai M. Subramaniam,,,,Emergence of Information Technology Skill Standards: The Case of NWCET Initiative,215--220,,6.0,"curricula guidelines, emergence of computing degree programs, information technology curricula, information technology education, nwcet, sigite, skill standards",10.1145/1631728.1631797,,,,,,,2009.0,,Proceedings of the 10th ACM Conference on SIG-information Technology Education,SIGITE '09,,978-1-60558-765-3,"Fairfax, Virginia, USA",ACM,"New York, NY, USA",information technology education theory
51,article,222043,Philip  Bell and Elizabeth A. Davis and Marcia C. Linn,,,,The Knowledge Integration Environment: Theory and Design,14--21,,8.0,"K-12 educational technology, collaborative learning environments, computer learning environments, internet, networking, science education, scientific evidence",10.3115/222020.222043,,,,,,,1995.0,,The First International Conference on Computer Support for Collaborative Learning,CSCL '95,,0-8058-2243-7,"Indiana Univ., Bloomington, Indiana, USA",L. Erlbaum Associates Inc.,"Hillsdale, NJ, USA",information technology education theory
54,article,1095750,Jack P. Krichen,,,,Dynamically Adjusting to Learner's Competencies and Styles in an Online Technology Course,149--154,,6.0,"SCORM, education, learning style",10.1145/1095714.1095750,,,,,,,2005.0,,Proceedings of the 6th Conference on Information Technology Education,SIGITE '05,,1-59593-252-6,"Newark, NJ, USA",ACM,"New York, NY, USA",information technology education theory
55,article,337291,Dickie  Selfe and Dawn  Hayden,,,,A Review and Applications of Information Ecologies,91--102,,12.0,"articulation theory, education, participatory design, technical communication, user-centered design",10.1145/337271.337291,ACM J. Comput. Doc.,May 2000,24,2,,May,2000.0,1527-6805,,,,,,ACM,"New York, NY, USA",information technology education theory
56,article,1168827,Fred  Gutierrez,,,,Stingray: A Hands-on Approach to Learning Information Security,53--58,,6.0,"IT education, information security education",10.1145/1168812.1168827,,,,,,,2006.0,,Proceedings of the 7th Conference on Information Technology Education,SIGITE '06,,1-59593-521-5,"Minneapolis, Minnesota, USA",ACM,"New York, NY, USA",information technology education theory
60,article,1168831,Edward J. Sobiesk and Jean R.S. Blair and James D. Cook and John C. Giordano and Bryan S. Goda and Charles W. Reynolds,,,,Designing an Interdisciplinary Information Technology Program,71--76,,6.0,"information technology curriculum, interdisciplinary",10.1145/1168812.1168831,,,,,,,2006.0,,Proceedings of the 7th Conference on Information Technology Education,SIGITE '06,,1-59593-521-5,"Minneapolis, Minnesota, USA",ACM,"New York, NY, USA",information technology education theory
61,article,2808605,Francisco J. Garc&#237;a-Pe&#241;alvo and Fara&#243;n  Llorens-Largo,,,,Design of an Innovative Approach Based on Service Learning for Information Technology Governance Teaching,159--164,,6.0,"engineering education, information technology government, service learning",10.1145/2808580.2808605,,,,,,,2015.0,,Proceedings of the 3rd International Conference on Technological Ecosystems for Enhancing Multiculturality,TEEM '15,,978-1-4503-3442-6,"Porto, Portugal",ACM,"New York, NY, USA",information technology education theory
63,article,1774298,Ken  Kaneiwa,,,,A Rough Set Approach to Mining Connections from Information Systems,990--996,,7.0,"causality, change and connection mining, rough set theory",10.1145/1774088.1774298,,,,,,,2010.0,,Proceedings of the 2010 ACM Symposium on Applied Computing,SAC '10,,978-1-60558-639-7,"Sierre, Switzerland",ACM,"New York, NY, USA",information technology education theory
64,article,2656454,Ethan  Tsang and Collette  Gavan and Mark  Anderson,,,,The Practical Application of LEGO\textregistered MINDSTORMS\textregistered Robotics Kits: Does It Enhance Undergraduate Computing Students' Engagement in Learning the Java Programming Language?,121--126,,6.0,"design, human factors, management, theory",10.1145/2656450.2656454,,,,,,,2014.0,,Proceedings of the 15th Annual Conference on Information Technology Education,SIGITE '14,,978-1-4503-2686-5,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",information technology education theory
73,article,3124120,Dexin  Hu and Yiwei  Wang and Cheng  Chen,,,,Ubiquitous Learning: Information Technology Driving Learning Revolution,21--26,,6.0,"information technology, learning style, typical model, ubiquitous learning",10.1145/3124116.3124120,,,,,,,2017.0,,Proceedings of the 2017 International Conference on Education and Multimedia Technology,ICEMT '17,,978-1-4503-5293-2,"Singapore, Singapore",ACM,"New York, NY, USA",information technology education theory
74,article,973730,Krassen  Stefanov,,,,Computing Ontology Creation,656--660,,5.0,"computer systems and technologies, computing education, information and communication technologies, metadata, ontology",10.1145/973620.973730,,,,,,,2003.0,,Proceedings of the 4th International Conference Conference on Computer Systems and Technologies: E-Learning,CompSysTech '03,,954-9641-33-3,"Rousse, Bulgaria",ACM,"New York, NY, USA",information technology education theory
75,article,2962588,Chunyang  Chen and Zhenchang  Xing,,,,Mining Technology Landscape from Stack Overflow,14:1--14:10,14.0,10.0,"Association Rule Mining, Community Detection, Technology Associative Network, Technology Landscape",10.1145/2961111.2962588,,,,,,,2016.0,,Proceedings of the 10th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,ESEM '16,,978-1-4503-4427-2,"Ciudad Real, Spain",ACM,"New York, NY, USA",information technology education theory
81,article,1631779,Gregory W. Hislop and Lee J. Leitner,,,,Creating a New Introductory Course Sequence for BSIT Students,187--191,,5.0,"cs1/cs2, information technology",10.1145/1631728.1631779,,,,,,,2009.0,,Proceedings of the 10th ACM Conference on SIG-information Technology Education,SIGITE '09,,978-1-60558-765-3,"Fairfax, Virginia, USA",ACM,"New York, NY, USA",information technology education theory
82,article,1151686,Kerrie M. Miller and Geoffrey N. Dick,,,,Computer-based Collaboration in Student Work: Does a Preference for Using Technology Affect Performance?,35--41,,7.0,"collaboration, education",,,,,,,,2005.0,,Proceedings of the 2005 South East Asia Regional Computer Science Confederation (SEARCC) Conference - Volume 46,SEARCC '05,,1-920682-28-7,"Sydney, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",information technology education theory
83,article,159593,Mitchel  Resnick,,,,Behavior Construction Kits,64--71,,8.0,education,10.1145/159544.159593,Commun. ACM,July 1993,36,7,,July,1993.0,0001-0782,,,,,,ACM,"New York, NY, USA",information technology education theory
84,article,2072091,Shuhua Monica Liu and Chongzhao  Li,,,,What Shapes Fieldworkers' Knowledge Sharing when Government Operation Goes Mobile?,125--130,,6.0,"mobile fieldwork, mobile technology and government operations",10.1145/2072069.2072091,,,,,,,2011.0,,Proceedings of the 5th International Conference on Theory and Practice of Electronic Governance,ICEGOV '11,,978-1-4503-0746-8,"Tallinn, Estonia",ACM,"New York, NY, USA",information technology education theory
86,article,947178,Ed  Crowley,,,,Information System Security Curricula Development,249--255,,7.0,"information technology curricula, information technology security",10.1145/947121.947178,,,,,,,2003.0,,Proceedings of the 4th Conference on Information Technology Curriculum,CITC4 '03,,1-58113-770-2,"Lafayette, Indiana, USA",ACM,"New York, NY, USA",information technology education theory
93,article,3084184,Curtis C. Cain and Eileen  Trauth,,,,Black Men in IT: Theorizing an Autoethnography of a Black Man's Journey into IT Within the United States of America,35--51,,17.0,"autoethnography, careers, ethnicity, individual differences theory of gender and it, information technology",10.1145/3084179.3084184,SIGMIS Database,May 2017,48,2,,April,2017.0,0095-0033,,,,,,ACM,"New York, NY, USA",information technology education theory
94,article,1414602,Hend S. Al-Khalifa and Nadia S. Al-Ghreimil and Maha M. Al-Yahya,,,,Towards a Better Understanding of the It Program at a Female Saudi University,165--172,,8.0,"information technology, information technology education, it curriculum development",10.1145/1414558.1414602,,,,,,,2008.0,,Proceedings of the 9th ACM SIGITE Conference on Information Technology Education,SIGITE '08,,978-1-60558-329-7,"Cincinnati, OH, USA",ACM,"New York, NY, USA",information technology education theory
98,article,1562743,Sonja  Cloete and Carina  de Villiers and Sumarie  Roodt,,,,Facebook As an Academic Tool for ICT Lecturers,16--22,,7.0,"education, web 2.0 technologies",10.1145/1562741.1562743,,,,,,,2009.0,,Proceedings of the 2009 Annual Conference of the Southern African Computer Lecturers' Association,SACLA '09,,978-1-60558-683-0,"Eastern Cape, South Africa",ACM,"New York, NY, USA",information technology education theory
99,article,1082076,Irina  Verenikina and Pauline  Harris and Pauline  Lysaght,,,,"Child's Play: Computer Games, Theories of Play and Children's Development",99--106,,8.0,"early childhood education, evaluation, professional development, research, teacher education",,,,,,,,2003.0,,Proceedings of the International Federation for Information Processing Working Group 3.5 Open Conference on Young Children and Learning Technologies - Volume 34,CRPIT '03,,1-920682-16-3,"Sydney, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",information technology education theory
102,article,2808598,Jos&#233; Ma Fern&#225;ndez-Batanero and Ma Jes&#250;s Colmenero Ruiz,,,,Teacher Attitudes Towards ICT in the Context of Inclusive Education,111--115,,5.0,"education, educational innovation, good educational practice, inclusive education, information and communication technologies, secondary education, teaching attitudes",10.1145/2808580.2808598,,,,,,,2015.0,,Proceedings of the 3rd International Conference on Technological Ecosystems for Enhancing Multiculturality,TEEM '15,,978-1-4503-3442-6,"Porto, Portugal",ACM,"New York, NY, USA",information technology education theory
7,article,2675222,John  Vines and Peter C. Wright and David  Silver and Maggie  Winchcombe and Patrick  Olivier,,,,"Authenticity, Relatability and Collaborative Approaches to Sharing Knowledge About Assistive Living Technology",82--94,,13.0,"ageing, assistive technology, co-design, older people, online health communities, peer-to-peer healthcare",10.1145/2675133.2675222,,,,,,,2015.0,,Proceedings of the 18th ACM Conference on Computer Supported Cooperative Work &#38; Social Computing,CSCW '15,,978-1-4503-2922-4,"Vancouver, BC, Canada",ACM,"New York, NY, USA",information technology education strategies
9,article,2934494,Mike  Mannion and Juha  Savolainen,,,,Choosing Reusable Software Strategies,227--231,,5.0,"reuse, strategy",10.1145/2934466.2934494,,,,,,,2016.0,,Proceedings of the 20th International Systems and Software Product Line Conference,SPLC '16,,978-1-4503-4050-2,"Beijing, China",ACM,"New York, NY, USA",information technology education strategies
11,article,2047653,David Matthew Whittinghill and Kyle D. Lutes,,,,Teaching Enterprise Application Development: Strategies and Challenges,221--226,,6.0,"education, enterprise application development, teaching",10.1145/2047594.2047653,,,,,,,2011.0,,Proceedings of the 2011 Conference on Information Technology Education,SIGITE '11,,978-1-4503-1017-8,"West Point, New York, USA",ACM,"New York, NY, USA",information technology education strategies
20,article,2667204,Angela  Carbone and Jason  Ceddia and   Simon and Daryl  D'Souza and Raina  Mason,,,,Student Concerns in Introductory Programming Courses,41--50,,10.0,"ICT education, education quality in ICT, teaching strategy, thematic analysis",,,,,,,,2013.0,,Proceedings of the Fifteenth Australasian Computing Education Conference - Volume 136,ACE '13,,978-1-921770-21-0,"Adelaide, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",information technology education strategies
21,article,1095758,David W. Valentine,,,,Practical Computer Security: A New Service Course Based Upon the National Strategy to Secure Cyberspace,185--189,,5.0,"education, model syllabi, security",10.1145/1095714.1095758,,,,,,,2005.0,,Proceedings of the 6th Conference on Information Technology Education,SIGITE '05,,1-59593-252-6,"Newark, NJ, USA",ACM,"New York, NY, USA",information technology education strategies
