type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,keyword
article,1551633,Diane  Lingrand and Johan  Montagnat and Tristan  Glatard,,,,Modeling User Submission Strategies on Production Grids,121--130,,10,"grid computing, modelisation, submission strategy",10.1145/1551609.1551633,,,,,,,2009,,Proceedings of the 18th ACM International Symposium on High Performance Distributed Computing,HPDC '09,,978-1-60558-587-1,"Garching, Germany",ACM,"New York, NY, USA",computing education strategies
article,142883,Anne Nicol Thomas and James  Pellegrino and Peter  Rowley and Marlene  Scardamalia and Elliot  Soloway and Jim  Webb,,,,"Designing Collaborative, Knowledge-building Environments for Tomorrow's Schools",427--430,,4,"collaborative learning, education, knowledge-building",10.1145/142750.142883,,,,,,,1992,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '92,,0-89791-513-5,"Monterey, California, USA",ACM,"New York, NY, USA",computing education strategies
article,3012587,M Cruz S&#225;nchez-G&#243;mez and Ana  Iglesias-Rodr&#237;guez and Antonio V. Mart&#237;n-Garc&#237;a,,,,Methodological Triangulation As a Research Strategy in Educational Innovation Processes: Case Study of the B-learning Methodology in the University Context,643--650,,8,"blended learning, educational innovation, higher education, innovation diffusion theory, multimethod research, research methodology, triangulation, unified theory of acceptance and use of technology",10.1145/3012430.3012587,,,,,,,2016,,Proceedings of the Fourth International Conference on Technological Ecosystems for Enhancing Multiculturality,TEEM '16,,978-1-4503-4747-1,"Salamanca, Spain",ACM,"New York, NY, USA",computing education strategies
article,2844616,Chris  Wilcox,,,,Testing Strategies for the Automated Grading of Student Programs,437--442,,6,"automated assessment, automated grading",10.1145/2839509.2844616,,,,,,,2016,,Proceedings of the 47th ACM Technical Symposium on Computing Science Education,SIGCSE '16,,978-1-4503-3685-7,"Memphis, Tennessee, USA",ACM,"New York, NY, USA",computing education strategies
article,1297290,Aaron  Cuthbertson and Sarah  Hatton and Gary  Minyard and Harper  Piver and Christopher  Todd and David  Birchfield,,,,Mediated Education in a Creative Arts Context: Research and Practice at Whittier Elementary School,65--72,,8,"K-12 education, computer-enriched instruction, discovery learning, multimodal interaction",10.1145/1297277.1297290,,,,,,,2007,,Proceedings of the 6th International Conference on Interaction Design and Children,IDC '07,,978-1-59593-747-6,"Aalborg, Denmark",ACM,"New York, NY, USA",computing education strategies
article,2616574,"Diane  Baxter,Ph.D. and Beth  Simon,Ph.D.",,,,Clash of the Timelines: Lessons Learned from the Front Lines of CS Education,69:1--69:5,69,5,"Advanced Placement Tests, Computing Principles, Curriculum, Education, K-12",10.1145/2616498.2616574,,,,,,,2014,,Proceedings of the 2014 Annual Conference on Extreme Science and Engineering Discovery Environment,XSEDE '14,,978-1-4503-2893-7,"Atlanta, GA, USA",ACM,"New York, NY, USA",computing education strategies
article,2691270,Maria Helena Monteiro and Alice  Trindade and Ricardo Ramos Pinto and Am&#225;vel  Santos,,,,"ICT Capabilities Within a Portuguese Higher Education Institution: The Case of Iscsp, ULisboa",496--497,,2,"adoption &#38; diffusion models, business process, digital strategy, higher education, ict capabilities, operational efficiency, organizational factors, strategic business planning",10.1145/2691195.2691270,,,,,,,2014,,Proceedings of the 8th International Conference on Theory and Practice of Electronic Governance,ICEGOV '14,,978-1-60558-611-3,"Guimaraes, Portugal",ACM,"New York, NY, USA",computing education strategies
article,2793128,Erik  Harpstead and Vincent  Aleven,,,,Using Empirical Learning Curve Analysis to Inform Design in an Educational Game,197--207,,11,"educational games, learning, learning curves",10.1145/2793107.2793128,,,,,,,2015,,Proceedings of the 2015 Annual Symposium on Computer-Human Interaction in Play,CHI PLAY '15,,978-1-4503-3466-2,"London, United Kingdom",ACM,"New York, NY, USA",computing education strategies
article,2751510,Daniel Alfonso Gon&#231;alves de Oliveira and La&#233;rcio  Pilla and Caio  Lunardi and Luigi  Carro and Philippe O.A. Navaux and Paolo  Rech,,,,The Path to Exascale: Code Optimizations and Hardening Solutions Reliability,55--62,,8,"error-correcting codes, hardening strategy, neutron beam testing, radiation testing",10.1145/2751504.2751510,,,,,,,2015,,Proceedings of the 5th Workshop on Fault Tolerance for HPC at eXtreme Scale,FTXS '15,,978-1-4503-3569-0,"Portland, Oregon, USA",ACM,"New York, NY, USA",computing education strategies
article,1150252,"William H. Conrad,III and Raul  Zaritsky and Michael  Munroe",,,,Infusing Engaged Learning Strategies and Modeling Software into Sixth Grade Classrooms: The Achieving High Academic Standards Project (AHAS),,12,,"collaboration (university/school/industry), improving classroom teaching, modeling tools and activities in education",,,,,,,,1999,,Proceedings of the 1999 Conference on Computer Support for Collaborative Learning,CSCL '99,,,"Palo Alto, California",International Society of the Learning Sciences,,computing education strategies
article,2503687,Shaun  Foster and David  Halbstein,,,,Screencasting Strategies: Heuristics for Using Video Content in 3D Computer Graphics Technological and Aesthetic Education,14:1--14:1,14,1,,10.1145/2503673.2503687,,,,,,,2013,,ACM SIGGRAPH 2013 Studio Talks,SIGGRAPH '13,,978-1-4503-2343-7,"Anaheim, California",ACM,"New York, NY, USA",computing education strategies
article,1121452,Kevin  Bierre and Phil  Ventura and Andrew  Phelps and Christopher  Egert,,,,Motivating OOP by Blowing Things Up: An Exercise in Cooperation and Competition in an Introductory Java Programming Course,354--358,,5,"graphics, programming education, virtual worlds",10.1145/1124706.1121452,SIGCSE Bull.,Mar-06,38,1,,March,2006,0097-8418,,,,,,ACM,"New York, NY, USA",computing education strategies
article,1121452,Kevin  Bierre and Phil  Ventura and Andrew  Phelps and Christopher  Egert,,,,Motivating OOP by Blowing Things Up: An Exercise in Cooperation and Competition in an Introductory Java Programming Course,354--358,,5,"graphics, programming education, virtual worlds",10.1145/1121341.1121452,,,,,,,2006,,Proceedings of the 37th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '06,,1-59593-259-3,"Houston, Texas, USA",ACM,"New York, NY, USA",computing education strategies
article,1352218,Andrew  Begel and Beth  Simon,,,,Struggles of New College Graduates in Their First Software Development Job,226--230,,5,"computer science education, human aspects of software engineering, software development",10.1145/1352322.1352218,SIGCSE Bull.,Mar-08,40,1,,March,2008,0097-8418,,,,,,ACM,"New York, NY, USA",computing education strategies
article,1352218,Andrew  Begel and Beth  Simon,,,,Struggles of New College Graduates in Their First Software Development Job,226--230,,5,"computer science education, human aspects of software engineering, software development",10.1145/1352135.1352218,,,,,,,2008,,Proceedings of the 39th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '08,,978-1-59593-799-5,"Portland, OR, USA",ACM,"New York, NY, USA",computing education strategies
article,1822375,Josh  Sheldon and Judy  Perry and Eric  Klopfer and Jennifer  Ong and Vivian Hsueh-Hua Chen and Pei Wen Tzuo and Louisa  Rosenheck,,,,Weatherlings: A New Approach to Student Learning Using Web-based Mobile Games,203--208,,6,"education, educational technology, games, mobile, ubiquitous, video games, weather",10.1145/1822348.1822375,,,,,,,2010,,Proceedings of the Fifth International Conference on the Foundations of Digital Games,FDG '10,,978-1-60558-937-4,"Monterey, California",ACM,"New York, NY, USA",computing education strategies
article,2899455,Ilias O. Pappas and Michail N. Giannakos and Letizia  Jaccheri,,,,Investigating Factors Influencing Students' Intention to Dropout Computer Science Studies,198--203,,6,"computer science education, dropout, higher education., retention",10.1145/2899415.2899455,,,,,,,2016,,Proceedings of the 2016 ACM Conference on Innovation and Technology in Computer Science Education,ITiCSE '16,,978-1-4503-4231-5,"Arequipa, Peru",ACM,"New York, NY, USA",computing education strategies
article,2661169,Chinmay  Kulkarni,,,,Making Distance Matter: Leveraging Scale and Diversity in Massive Online Classes,25--28,,4,"MOOC, discussion, online education, peer assessment, social computing",10.1145/2658779.2661169,,,,,,,2014,,Proceedings of the Adjunct Publication of the 27th Annual ACM Symposium on User Interface Software and Technology,UIST'14 Adjunct,,978-1-4503-3068-8,"Honolulu, Hawaii, USA",ACM,"New York, NY, USA",computing education strategies
article,2157430,Lester L. Wainwright and Renee  Ciezki and Robert G. Martin,,,,AP CS A: Sharing Teaching Strategies and Curricular Ideas (Abstract Only),680--680,,1,AP CS A,10.1145/2157136.2157430,,,,,,,2012,,Proceedings of the 43rd ACM Technical Symposium on Computer Science Education,SIGCSE '12,,978-1-4503-1098-7,"Raleigh, North Carolina, USA",ACM,"New York, NY, USA",computing education strategies
article,165418,Dorothy  Deremer,,,,Improving the Learning Environment in CS I: Experiences with Communication Strategies,31--35,,5,,10.1145/165408.165418,SIGCSE Bull.,Sept. 1993,25,3,,September,1993,0097-8418,,,,,,ACM,"New York, NY, USA",computing education strategies
article,2677253,Paul  Denny,,,,Generating Practice Questions As a Preparation Strategy for Introductory Programming Exams,278--283,,6,"exams, multiple-choice, peerwise, programming, student authored questions",10.1145/2676723.2677253,,,,,,,2015,,Proceedings of the 46th ACM Technical Symposium on Computer Science Education,SIGCSE '15,,978-1-4503-2966-8,"Kansas City, Missouri, USA",ACM,"New York, NY, USA",computing education strategies
article,2702330,Eric  Butler and Erik  Andersen and Adam M. Smith and Sumit  Gulwani and Zoran  Popovi&#263;,,,,Automatic Game Progression Design Through Analysis of Solution Features,2407--2416,,10,"education, games, procedural content generation",10.1145/2702123.2702330,,,,,,,2015,,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,CHI '15,,978-1-4503-3145-6,"Seoul, Republic of Korea",ACM,"New York, NY, USA",computing education strategies
article,2898465,Rahmad  Dawood,,,,Embedding HCI in Computer Science Education: A Preliminary Attempt,39--43,,5,"Computer Science Education, Developing Countries, HCI Education",10.1145/2898459.2898465,,,,,,,2016,,Proceedings of the 2Nd International Conference in HCI and UX Indonesia 2016,CHIuXiD '16,,978-1-4503-4044-1,"Jakarta, Indonesia",ACM,"New York, NY, USA",computing education strategies
article,2983506,Martina Holenko Dlab and Nata&#353;a  Hoi&#263;-Bo&#381;i&#263;,,,,Increasing Students' Academic Results in e-Course Using Educational Recommendation Strategy,391--398,,8,"Collaborative learning, E-learning, ELARS, Recommender Systems, Web 2.0",10.1145/2983468.2983506,,,,,,,2016,,Proceedings of the 17th International Conference on Computer Systems and Technologies 2016,CompSysTech '16,,978-1-4503-4182-0,"Palermo, Italy",ACM,"New York, NY, USA",computing education strategies
article,2544262,Peter-Michael  Osera and Brent  Yorgey,,,,"Making Induction Meaningful, Recursively (Abstract Only)",737--737,,1,"computer science education, discrete mathematics, functional programming, induction",10.1145/2538862.2544262,,,,,,,2014,,Proceedings of the 45th ACM Technical Symposium on Computer Science Education,SIGCSE '14,,978-1-4503-2605-6,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",computing education strategies
article,2739014,Christian  K&#246;ppe,,,,Towards a Pattern Language for Lecture Design: An Inventory and Categorization of Existing Lecture-relevant Patterns,3:1--3:17,3,17,"education, educational patterns, lectures",10.1145/2739011.2739014,,,,,,,2015,,Proceedings of the 18th European Conference on Pattern Languages of Program,EuroPLoP '13,,978-1-4503-3465-5,"Irsee, Germany",ACM,"New York, NY, USA",computing education strategies
article,1355269,Brian H. Cameron,,,,Enterprise Systems Education: New Directions & Challenges for the Future,119--126,,8,"curricular change, curricular design, enterprise architecture education, enterprise systems education, storage education",10.1145/1355238.1355269,,,,,,,2008,,Proceedings of the 2008 ACM SIGMIS CPR Conference on Computer Personnel Doctoral Consortium and Research,SIGMIS CPR '08,,978-1-60558-069-2,"Charlottesville, VA, USA",ACM,"New York, NY, USA",computing education strategies
article,1833322,Thomas D. LaToza and Brad A. Myers,,,,On the Importance of Understanding the Strategies That Developers Use,72--75,,4,"developer questions, program comprehension, strategies",10.1145/1833310.1833322,,,,,,,2010,,Proceedings of the 2010 ICSE Workshop on Cooperative and Human Aspects of Software Engineering,CHASE '10,,978-1-60558-966-4,"Cape Town, South Africa",ACM,"New York, NY, USA",computing education strategies
article,2669923,Manuel &#193;. Gonz&#225;lez and M. &#193;. Gonz&#225;lez and C&#233;sar  Llamas and M. Esther Mart&#237;n and Jes&#250;s  Vegas and &#211;scar  Mart&#237;nez and Carmen  Hern&#225;ndez and Mar  Herguedas,,,,Mobile Phones for Teaching Physics: Using Applications and Sensors,349--355,,7,"engagement, laboratory, mlearning, physics, sensors, smartphones, teaching/learning strategies",10.1145/2669711.2669923,,,,,,,2014,,Proceedings of the Second International Conference on Technological Ecosystems for Enhancing Multiculturality,TEEM '14,,978-1-4503-2896-8,"Salamanca, Spain",ACM,"New York, NY, USA",computing education strategies
article,2544271,Shearon  Brown and Xiaohong  Yuan,,,,Techniques for Retaining Low Performing Students: High-need Student Mentoring Program (Abstract Only),708--708,,1,computer science retention,10.1145/2538862.2544271,,,,,,,2014,,Proceedings of the 45th ACM Technical Symposium on Computer Science Education,SIGCSE '14,,978-1-4503-2605-6,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",computing education strategies
article,801369,James Landon Linderman,,,,Defensive COBOL Strategies,205--210,,6,,10.1145/953051.801369,SIGCSE Bull.,Feb-82,14,1,,February,1982,0097-8418,,,,,,ACM,"New York, NY, USA",computing education strategies
article,801369,James Landon Linderman,,,,Defensive COBOL Strategies,205--210,,6,,10.1145/800066.801369,,,,,,,1982,,Proceedings of the Thirteenth SIGCSE Technical Symposium on Computer Science Education,SIGCSE '82,,0-89791-067-2,"Indianapolis, Indiana, USA",ACM,"New York, NY, USA",computing education strategies
article,2818332,Neil  Smith and Yasemin  Allsop and Helen  Caldwell and David  Hill and Yota  Dimitriadi and Andrew Paul Csizmadia,,,,Master Teachers in Computing: What Have We Achieved?,21--24,,4,"Computer science education, Curriculum change, Master teachers, Teacher education, professional development",10.1145/2818314.2818332,,,,,,,2015,,Proceedings of the Workshop in Primary and Secondary Computing Education,WiPSCE '15,,978-1-4503-3753-3,"London, United Kingdom",ACM,"New York, NY, USA",computing education strategies
article,2643189,Martin  Steiger and J&#252;rgen  Bernard and Thorsten  May and J&#246;rn  Kohlhammer,,,,A Survey of Direction-preserving Layout Strategies,21--28,,8,"cartography, graph drawing, metro map, navigation tasks, network visualization, octilinear layout, visual aids",10.1145/2643188.2643189,,,,,,,2014,,Proceedings of the 30th Spring Conference on Computer Graphics,SCCG '14,,978-1-4503-3070-1,"Smolenice, Slovakia",ACM,"New York, NY, USA",computing education strategies
article,2462478,Karen  Renaud,,,,Introducing Computing Students to Scientific Experimentation,76--81,,6,"computing science, coursework, experimentation",10.1145/2462476.2462478,,,,,,,2013,,Proceedings of the 18th ACM Conference on Innovation and Technology in Computer Science Education,ITiCSE '13,,978-1-4503-2078-8,"Canterbury, England, UK",ACM,"New York, NY, USA",computing education strategies
article,1082061,Rachel  Ager and Mike  Kendall,,,,"Getting It Right from the Start: A Case Study of the Development of a Foundation Stage Learning and ICT Strategy in Northamptonshire, UK",3--11,,9,"curriculum, early childhood education, equity, learning environments, standards",,,,,,,,2003,,Proceedings of the International Federation for Information Processing Working Group 3.5 Open Conference on Young Children and Learning Technologies - Volume 34,CRPIT '03,,1-920682-16-3,"Sydney, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computing education strategies
article,2538871,Annemieke  Craig and Catherine  Lang and Michail N. Giannakos and Carsten  Kleiner and Judith  Gal-Ezer,,,,Looking Outside: What Can Be Learnt from Computing Education Around the World?,371--372,,2,international computer education,10.1145/2538862.2538871,,,,,,,2014,,Proceedings of the 45th ACM Technical Symposium on Computer Science Education,SIGCSE '14,,978-1-4503-2605-6,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",computing education strategies
article,514731,Dale  Skrien,,,,CPU Sim 3.1: A Tool for Simulating Computer Architectures for Computer Organization Classes,46--59,,14,"Computer architecture simulator, education",10.1145/514144.514731,J. Educ. Resour. Comput.,Dec-01,1,4,,December,2001,1531-4278,,,,,,ACM,"New York, NY, USA",computing education strategies
article,545201,B.  Dugan and J.  Zahorjan,,,,The Sloop ISA and the SMOK Toolkit,49--71,,23,"Computer architecture, education, simulator",10.1145/545197.545201,J. Educ. Resour. Comput.,Mar-02,2,1,,March,2002,1531-4278,,,,,,ACM,"New York, NY, USA",computing education strategies
article,1862735,  Simon,,,,Ten Years of the Australasian Computing Education Conference,157--164,,8,"classifying publications, computing education",,,,,,,,2009,,Proceedings of the Eleventh Australasian Conference on Computing Education - Volume 95,ACE '09,,978-1-920682-76-7,"Wellington, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computing education strategies
article,1089795,J. Paul Gibson and Jackie  O'Kelly,,,,Software Engineering As a Model of Understanding for Learning and Problem Solving,87--97,,11,computing education research,10.1145/1089786.1089795,,,,,,,2005,,Proceedings of the First International Workshop on Computing Education Research,ICER '05,,1-59593-043-4,"Seattle, WA, USA",ACM,"New York, NY, USA",computing education strategies
article,1565822,Briana Lowe Wellman and James  Davis and Monica  Anderson,,,,Alice and Robotics in Introductory CS Courses,98--102,,5,"computer science, diversity, education",10.1145/1565799.1565822,,,,,,,2009,,"The Fifth Richard Tapia Celebration of Diversity in Computing Conference: Intellect, Initiatives, Insight, and Innovations",TAPIA '09,,978-1-60558-217-7,"Portland, Oregon",ACM,"New York, NY, USA",computing education strategies
article,1509005,Owen  Astrachan and Henry  Walker and Chris  Stephenson and Lien  Diaz and Jan  Cuny,,,,Advanced Placement Computer Science: The Future of Tracking the First Year of Instruction,397--398,,2,computer science education,10.1145/1539024.1509005,SIGCSE Bull.,Mar-09,41,1,,March,2009,0097-8418,,,,,,ACM,"New York, NY, USA",computing education strategies
article,1509005,Owen  Astrachan and Henry  Walker and Chris  Stephenson and Lien  Diaz and Jan  Cuny,,,,Advanced Placement Computer Science: The Future of Tracking the First Year of Instruction,397--398,,2,computer science education,10.1145/1508865.1509005,,,,,,,2009,,Proceedings of the 40th ACM Technical Symposium on Computer Science Education,SIGCSE '09,,978-1-60558-183-5,"Chattanooga, TN, USA",ACM,"New York, NY, USA",computing education strategies
article,1862222,Arnold N. Pears,,,,Does Quality Assurance Enhance the Quality of Computing Education?,9--14,,6,"assessment, computing education, quality",,,,,,,,2010,,Proceedings of the Twelfth Australasian Conference on Computing Education - Volume 103,ACE '10,,978-1-920682-84-2,"Brisbane, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computing education strategies
article,1734395,Vicki  Allan and Valerie  Barr and Dennis  Brylow and Susanne  Hambrusch,,,,Computational Thinking in High School Courses,390--391,,2,"computational thinking, education",10.1145/1734263.1734395,,,,,,,2010,,Proceedings of the 41st ACM Technical Symposium on Computer Science Education,SIGCSE '10,,978-1-4503-0006-3,"Milwaukee, Wisconsin, USA",ACM,"New York, NY, USA",computing education strategies
article,1378335,Irena  Ml&#253;nkov&#225; and Jaroslav  Pokorn&#253;,,,,UserMap: An Adaptive Enhancing of User-driven XML-to-relational Mapping Strategies,165--174,,10,"XML-to-relational mapping, adaptivity, similarity, user-driven strategy",,,,,,,,2007,,Proceedings of the Nineteenth Conference on Australasian Database - Volume 75,ADC '08,,978-1-920682-56-9,"Gold Coast, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computing education strategies
article,980009,Glenn  Smith and Eban  Escott,,,,Using Animations to Support Teaching of General Computing Concepts,305--310,,6,"animation, computing, education, visualisation",,,,,,,,2004,,Proceedings of the Sixth Australasian Conference on Computing Education - Volume 30,ACE '04,,,"Dunedin, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computing education strategies
article,2335849,Steven I. Gordon and Judith D. Gardiner and Brian  Guilfoos,,,,Computational Science Certificates for the Current Workforce: Lessons Learned,51:1--51:4,51,4,"computational science, workforce education",10.1145/2335755.2335849,,,,,,,2012,,Proceedings of the 1st Conference of the Extreme Science and Engineering Discovery Environment: Bridging from the eXtreme to the Campus and Beyond,XSEDE '12,,978-1-4503-1602-6,"Chicago, Illinois, USA",ACM,"New York, NY, USA",computing education strategies
article,2538866,Lillian (Boots) Cassel and Bonnie  MacKellar and Joan  Peckham and Carol  Spradling and Han  Reichgelt and Suzanne  Westbrook and Ursula  Wolz,,,,Interdisciplinary Computing in Many Forms,623--624,,2,"computing, education, interdisciplinary, multidisciplinary",10.1145/2538862.2538866,,,,,,,2014,,Proceedings of the 45th ACM Technical Symposium on Computer Science Education,SIGCSE '14,,978-1-4503-2605-6,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",computing education strategies
article,2157310,Ariel S. Rabkin and Charles  Reiss and Randy  Katz and David  Patterson,,,,Experiences Teaching MapReduce in the Cloud,601--606,,6,"cloud computing, education, mapreduce",10.1145/2157136.2157310,,,,,,,2012,,Proceedings of the 43rd ACM Technical Symposium on Computer Science Education,SIGCSE '12,,978-1-4503-1098-7,"Raleigh, North Carolina, USA",ACM,"New York, NY, USA",computing education strategies
article,503799,D. E. Stevenson,,,,Frontiers for Computer Science in Computational Science,203--210,,8,"computational science, education",10.1145/503720.503799,,,,,,,1992,,Proceedings of the 30th Annual Southeast Regional Conference,ACM-SE 30,,0-89791-506-2,"Raleigh, North Carolina",ACM,"New York, NY, USA",computing education strategies
article,545200,Brian J. Shelburne,,,,A PDP-8 Emulator Program,17--47,,31,"Computer architecture simulator, education",10.1145/545197.545200,J. Educ. Resour. Comput.,Mar-02,2,1,,March,2002,1531-4278,,,,,,ACM,"New York, NY, USA",computing education strategies
article,1509053,Owen  Astrachan and Susanne  Hambrusch and Joan  Peckham and Amber  Settle,,,,The Present and Future of Computational Thinking,549--550,,2,"computational thinking, curriculum, education",10.1145/1539024.1509053,SIGCSE Bull.,Mar-09,41,1,,March,2009,0097-8418,,,,,,ACM,"New York, NY, USA",computing education strategies
article,1509053,Owen  Astrachan and Susanne  Hambrusch and Joan  Peckham and Amber  Settle,,,,The Present and Future of Computational Thinking,549--550,,2,"computational thinking, curriculum, education",10.1145/1508865.1509053,,,,,,,2009,,Proceedings of the 40th ACM Technical Symposium on Computer Science Education,SIGCSE '09,,978-1-60558-183-5,"Chattanooga, TN, USA",ACM,"New York, NY, USA",computing education strategies
article,2325409,Galit  Shriki and Bracha  Daum-Reiter,,,,Similarities in CSE and Gemara Education,392--392,,1,"computer science education, gemara.",10.1145/2325296.2325409,,,,,,,2012,,Proceedings of the 17th ACM Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '12,,978-1-4503-1246-2,"Haifa, Israel",ACM,"New York, NY, USA",computing education strategies
article,1822180,Berkin  Ilbeyi and John A. Nestor,,,,VCache: Visualization Applet for Processor Caches,304--304,,1,"computer organization, education, visualization",10.1145/1822090.1822180,,,,,,,2010,,Proceedings of the Fifteenth Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '10,,978-1-60558-820-9,"Bilkent, Ankara, Turkey",ACM,"New York, NY, USA",computing education strategies
article,514146,Hugh  Osborne,,,,The Postroom Computer,81--110,,30,"Computer architecture simulator, education",10.1145/514144.514146,J. Educ. Resour. Comput.,Dec-01,1,4,,December,2001,1531-4278,,,,,,ACM,"New York, NY, USA",computing education strategies
article,2157300,Daniel D. Garcia and Barbara  Ericson and Joanna  Goode and Colleen  Lewis,,,,"Rediscovering the Passion, Beauty, Joy, and Awe: Making Computing Fun Again, Part 5",577--578,,2,"PBJA, computer science education",10.1145/2157136.2157300,,,,,,,2012,,Proceedings of the 43rd ACM Technical Symposium on Computer Science Education,SIGCSE '12,,978-1-4503-1098-7,"Raleigh, North Carolina, USA",ACM,"New York, NY, USA",computing education strategies
article,979976,Mats  Daniels and Anders  Berglund and Arnold  Pears and Sally  Fincher,,,,Five Myths of Assessment,57--61,,5,"Computer Science Education, assessment",,,,,,,,2004,,Proceedings of the Sixth Australasian Conference on Computing Education - Volume 30,ACE '04,,,"Dunedin, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computing education strategies
article,2544254,Shiva  Azadegan and Josh  Dehlinger and Siddharth  Kaza,,,,Incorporating Mobile Computing into the CS Curriculum (Abstract Only),735--735,,1,"computer science education, mobile computing",10.1145/2538862.2544254,,,,,,,2014,,Proceedings of the 45th ACM Technical Symposium on Computer Science Education,SIGCSE '14,,978-1-4503-2605-6,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",computing education strategies
article,2157437,Hal  Abelson and David  Wolber and Ralph  Morelli and Jeff  Gray and Chinma  Uche,,,,Teaching with App Inventor for Android (Abstract Only),681--681,,1,"computer science education, mobile computing",10.1145/2157136.2157437,,,,,,,2012,,Proceedings of the 43rd ACM Technical Symposium on Computer Science Education,SIGCSE '12,,978-1-4503-1098-7,"Raleigh, North Carolina, USA",ACM,"New York, NY, USA",computing education strategies
article,1411735,Anna  Riccioni and Enrico  Denti and Roberto  Laschi,,,,An Experimental Environment for Teaching Java Security,13--22,,10,"Java cryptography extension, computer engineering education, virtual laboratory",10.1145/1411732.1411735,,,,,,,2008,,Proceedings of the 6th International Symposium on Principles and Practice of Programming in Java,PPPJ '08,,978-1-60558-223-8,"Modena, Italy",ACM,"New York, NY, USA",computing education strategies
article,1508893,Joseph E. Urban and Jesse M. Heines and Edward A. Fox and Harriet G. Taylor,,,,Panel on Revitalized Undergraduate Computing Education,69--70,,2,"computer education, interdisciplinary computing programs",10.1145/1508865.1508893,,,,,,,2009,,Proceedings of the 40th ACM Technical Symposium on Computer Science Education,SIGCSE '09,,978-1-60558-183-5,"Chattanooga, TN, USA",ACM,"New York, NY, USA",computing education strategies
article,1508893,Joseph E. Urban and Jesse M. Heines and Edward A. Fox and Harriet G. Taylor,,,,Panel on Revitalized Undergraduate Computing Education,69--70,,2,"computer education, interdisciplinary computing programs",10.1145/1539024.1508893,SIGCSE Bull.,Mar-09,41,1,,March,2009,0097-8418,,,,,,ACM,"New York, NY, USA",computing education strategies
article,337171,Lisa K. Hallberg,,,,Training for a Wider Audience (Poster Session): Helping More of the People More of the Time,228--231,,4,"adult learning, curriculum planning, technical training, training strategies",10.1145/337043.337171,,,,,,,1999,,Proceedings of the 27th Annual ACM SIGUCCS Conference on User Services: Mile High Expectations,SIGUCCS '99,,1-58113-144-5,"Denver, Colorado, USA",ACM,"New York, NY, USA",computing education strategies
article,2282379,James  Pettit and David  Helmbold,,,,Evolutionary Learning of Policies for MCTS Simulations,212--219,,8,"Monte Carlo, Monte Carlo tree search, adversarial search, computer hex, evolution strategies, evolutionary learning",10.1145/2282338.2282379,,,,,,,2012,,Proceedings of the International Conference on the Foundations of Digital Games,FDG '12,,978-1-4503-1333-9,"Raleigh, North Carolina",ACM,"New York, NY, USA",computing education strategies
article,3012507,Terje  Samuelsen and Ricardo  Colomo-Palacios and Monica  Kristiansen,,,,Learning Software Project Management in Teams with Diverse Backgrounds,127--131,,5,"education, software engineering management, teamwork",10.1145/3012430.3012507,,,,,,,2016,,Proceedings of the Fourth International Conference on Technological Ecosystems for Enhancing Multiculturality,TEEM '16,,978-1-4503-4747-1,"Salamanca, Spain",ACM,"New York, NY, USA",computing education strategies
article,3017739,Lori  Pollock and Crystalla  Mouza and Amanda  Czik and Alexis  Little and Debra  Coffey and Joan  Buttram,,,,From Professional Development to the Classroom: Findings from CS K-12 Teachers,477--482,,6,"CS education, K12, computational thinking, cs principles, teacher professional development",10.1145/3017680.3017739,,,,,,,2017,,Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education,SIGCSE '17,,978-1-4503-4698-6,"Seattle, Washington, USA",ACM,"New York, NY, USA",computing education strategies
article,1508887,Lillian N. Cassel and Richard H. Austing and Elliott  Koffman,,,,SIGCSE: From the Beginnings to a Bright Future,64--64,,1,"computing education, curriculum, sigcse",10.1145/1539024.1508887,SIGCSE Bull.,Mar-09,41,1,,March,2009,0097-8418,,,,,,ACM,"New York, NY, USA",computing education strategies
